"NAME","LENGTH","PHAGE","CHECKV_QUALITY","MIUVIG_QUALITY","LIFE_CYCLE","PROVIRUS","HOST_PHYLUM","HOST_CLASS","HOST_ORDER","HOST_FAMILY","HOST_GENUS","HOST_PREDICTION_METHOD","VC_STATUS","CLUSTER","SUBCLUSTER","REF_PHAGES_IN_VC","GARRY_OAK_ENRICHMENT","HILLY_GRASSLAND_ENRICHMENT","Sage1_L_100_16","Sage1_L_113_16","Sage1_L_20_16","Sage1_L_40_16","Sage1_L_60_16","Sage1_L_80_16","Sage1_R_100_16","Sage1_R_113_16","Sage1_R_20_16","Sage1_R_40_16","Sage1_R_60_16","Sage1_R_80_16","Sage2_L_100_16","Sage2_L_115_16","Sage2_L_20_16","Sage2_L_40_16","Sage2_L_60_16","Sage2_L_80_16","Sage2_R_100_16","Sage2_R_115_16","Sage2_R_20_16","Sage2_R_40_16","Sage2_R_60_16","Sage2_R_80_16"
"DNA_vOTU_5831",180866,"dsDNAphage","Not-determined","Genome-fragment","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Frankiaceae","Frankia","WIsH","Clustered",349,0,"NO","SUBSURFACE",NA,28375,15535,6290,6954,11934,17165,26287,16067,3481,6283,21996,19267,6154,4309,5192,3100,3658,5378,2314,2156,3098,1860,2988,3742
"DNA_vOTU_591",180603,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Actinosynnemataceae","Kibdelosporangium","WIsH","Clustered",263,0,"NO",NA,NA,11634,16146,10582,18761,28563,17115,16757,20600,5381,22227,24726,8955,19922,17401,13668,12717,13771,28249,13912,11571,8515,5594,17187,23368
"DNA_vOTU_7972",180238,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Frankiaceae","Frankia","WIsH","Clustered",267,4,"NO",NA,"SUBSURFACE",6766,6210,9804,22282,14974,10063,7227,7917,5084,14946,18428,4179,30135,22913,7254,20241,34257,80445,44982,15819,7218,18451,34356,65688
"DNA_vOTU_5920",179966,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Pseudomonadota","GammaPseudomonadota","Oceanospirillales","Halomonadaceae",NA,"CRISPR spacer (database)","Singleton",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNA_vOTU_2356",173395,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Polyangiaceae","Sorangium","WIsH","Clustered",259,2,"NO",NA,"SURFACE",43520,25982,13043,11023,12362,15841,28504,28843,7364,13429,10258,7174,7985,7188,12783,10309,7152,6808,4227,4619,10447,4967,5236,5529
"DNA_vOTU_2068",173273,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Actinomycetota","Actinomycetia","Micromonosporales","Micromonosporaceae","Plantactinospora","WIsH","Outlier",NA,NA,"YES",NA,NA,11163,8400,5521,8790,7526,11002,8328,11299,2425,6193,18768,4350,3064,2883,2871,3063,3779,3817,2163,2046,2057,2069,2663,3070
"DNA_vOTU_6053",173087,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Micromonosporaceae","Actinoplanes","WIsH","Clustered",261,1,"NO","SUBSURFACE",NA,149129,81836,5487,6884,7274,41796,79713,102262,2336,4656,7173,43820,3580,3259,3027,3380,4584,5062,2538,2079,2440,2537,3086,3714
"DNA_vOTU_801",171869,"dsDNAphage","Medium-quality","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Outlier",NA,NA,"YES",NA,"SUBSURFACE",114,117,206,150,278,233,114,36,61,96,107,49,14192,7108,106,254,243,3090,3793,509,306,167,271,98363
"DNA_vOTU_2761",171415,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Streptosporangiaceae","Streptosporangium","WIsH","Outlier",NA,NA,"YES",NA,NA,4749,5218,19058,26371,22184,9851,5569,6520,9544,26928,20981,4028,28305,26158,11710,27138,23202,46329,25202,19330,10435,15951,28376,45315
"DNA_vOTU_707",170772,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Pseudomonadota","GammaPseudomonadota","Oceanospirillales","Halomonadaceae",NA,"CRISPR spacer (database)","Singleton",NA,NA,NA,NA,NA,10495,16187,10401,18265,27912,17316,16532,19800,5721,22752,24729,9259,19122,17127,13466,12758,13482,26237,13872,11123,8875,5393,16433,22069
"DNA_vOTU_592",167451,"dsDNAphage","Low-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",1662,0,"NO",NA,"SUBSURFACE",100,126,243,218,287,246,95,24,77,89,84,50,13312,6903,121,228,201,3001,3564,489,275,141,243,93058
"DNA_vOTU_8214",163327,"dsDNAphage","Medium-quality","Genome-fragment","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Pseudonocardiaceae","Amycolatopsis","WIsH","Clustered",347,0,"NO",NA,NA,6615,10954,7168,12776,19815,11723,11257,13497,3826,16284,16999,6467,14532,12671,9831,8667,8928,19799,9758,8685,6082,3797,12085,16866
"DNA_vOTU_2886",162928,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Nocardiopsaceae","Nocardiopsis","CRISPR spacer (database)","Outlier",NA,NA,"YES","SUBSURFACE","SURFACE",11050,10638,6483,18332,30385,15833,10167,11140,2804,14137,29326,5422,4766,4645,7060,7021,6183,8303,4100,2859,4020,3096,5032,5653
"DNA_vOTU_2415",162547,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Micromonosporaceae","Actinoplanes","WIsH","Outlier",NA,NA,"YES","SUBSURFACE","SURFACE",18761,15516,6009,19746,32440,18995,15869,16030,2572,14816,32806,7337,4546,4232,6165,6758,5254,7293,4141,3014,3521,3042,4993,5459
"DNA_vOTU_3067",160621,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Polyangiaceae","Sorangium","WIsH","Clustered",287,0,"NO",NA,NA,18346,25875,5455,3171,4456,7083,18689,28683,3712,2920,2454,12121,4741,3888,9844,6071,3708,4737,2111,1921,3471,2266,1465,3332
"DNA_vOTU_2506",158810,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Streptosporangiaceae","Streptosporangium","WIsH","Outlier",NA,NA,"YES",NA,NA,767,783,1350,1289,1842,1736,833,203,346,427,640,326,4997,5057,511,483,1267,27182,14753,5976,995,238,315,5913
"DNA_vOTU_2470",157609,"dsDNAphage","Medium-quality","Genome-fragment","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Micromonosporaceae","Actinoplanes","WIsH","Clustered",261,2,"NO",NA,NA,5130,4311,4784,8042,5705,8258,4528,3929,1867,5366,17564,2593,2257,1762,1778,1753,2434,2923,1651,1416,1318,1304,1550,2101
"DNA_vOTU_7195",154900,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Polyangiaceae","Sorangium","WIsH","Clustered",268,0,"NO",NA,"SURFACE",61981,98006,20108,17504,17837,25313,66711,94343,13090,24672,20133,14217,14303,12548,22756,17284,11485,11351,6864,7424,16352,7888,8303,8985
"DNA_vOTU_2412",152313,"dsDNAphage","Complete","High-quality","TEMPERATE","NO","Pseudomonadota","BetaPseudomonadota","Burkholderiales","Burkholderiaceae","Salinispora","CRISPR spacer (database)","Clustered",555,0,"NO",NA,NA,42512,2582,3194,3067,3740,3678,2245,5331,902,1395,2411,886,2284,2425,1083,1607,1839,2350,2934,2421,695,1235,1490,1823
"DNA_vOTU_3504",151572,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Micromonosporaceae","Verrucosispora","WIsH","Clustered",253,2,"NO","SUBSURFACE",NA,10266,26858,2818,3385,4566,7045,19470,31864,996,1785,2502,2126,1504,1297,1396,1623,1955,2307,1030,774,1124,1047,1297,1620
"DNA_vOTU_9449",150640,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Micromonosporaceae","Actinoplanes","WIsH","Outlier",NA,NA,"YES","SUBSURFACE",NA,13793,8932,5110,17917,12309,12380,8857,14077,2260,6007,24979,5366,3020,2986,2955,3365,9541,4870,2916,1907,2467,3311,3990,3977
"DNA_vOTU_6783",148563,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Labilitrichaceae","Labilithrix","WIsH","Clustered",287,1,"NO",NA,"SURFACE",11080,15536,3571,2024,2728,4361,11959,16904,2499,2038,1858,7712,3091,2528,6673,4338,2534,3288,1455,1245,2505,1485,999,2287
"DNA_vOTU_9727",145270,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Streptomycetaceae","Streptomyces","CRISPR spacer (database)","Clustered",420,1,"NO","SUBSURFACE","SURFACE",12096,11079,4694,15119,26025,14707,10778,11661,2012,11559,25306,5509,4364,3535,5815,5073,5182,7118,3560,2211,2911,2352,4172,4937
"DNA_vOTU_2007",142257,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Micromonosporales","Micromonosporaceae","Plantactinospora","WIsH","Singleton",NA,NA,NA,"SUBSURFACE",NA,29899,17709,7051,10697,13475,21104,27171,28391,3497,8458,15479,11975,6663,6573,5448,6284,8209,9992,5076,4153,4378,4150,5895,7746
"DNA_vOTU_6165",136994,"dsDNAphage","Complete","High-quality","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Streptomycetaceae","Streptomyces","WIsH","Clustered",1193,1,"NO",NA,NA,492,412,826,736,1079,1050,417,137,193,307,333,168,2446,2076,232,219,318,17846,872,385,212,136,172,543
"DNA_vOTU_1945",136256,"dsDNAphage","Medium-quality","Genome-fragment","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Nocardiaceae","Rhodococcus","WIsH","Clustered",423,1,"NO",NA,NA,11753,20603,5562,6371,7728,9031,16064,21029,3787,5682,7791,5425,5555,4684,5144,4753,5458,7749,3436,2802,3435,3081,3973,5324
"DNA_vOTU_8118",136069,"dsDNAphage","High-quality","High-quality","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Frankiaceae","Frankia","WIsH","Clustered",291,1,"NO",NA,"SUBSURFACE",6195,4187,4454,14675,7514,5842,4989,4280,1864,7515,8526,2484,20333,14284,2354,10818,25147,53825,32964,10476,2183,13584,25693,45630
"DNA_vOTU_6863",132733,"dsDNAphage","High-quality","High-quality","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",1020,1,"NO","SURFACE","SURFACE",94,112,411,233,255,288,114,28,298,91,75,52,248,324,14938,215,271,70,152,113,3883,444,57,64
"DNA_vOTU_9565",132477,"dsDNAphage","Medium-quality","Genome-fragment","LYTIC","NO","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","WIsH","Clustered",414,0,"NO","SUBSURFACE","SURFACE",308,207,197,12575,209,426,300,93,103,2987,4852,323,29,30,102,37,44,44,23,20,311,68,32,68
"DNA_vOTU_1887",129710,"dsDNAphage","Medium-quality","Genome-fragment","LYTIC","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Polyangiaceae","Sorangium","WIsH","Outlier",NA,NA,"YES",NA,"SURFACE",64113,31587,15435,13310,14010,21249,49318,36975,9749,18299,23181,14856,9981,8688,16364,13041,8494,8240,4871,5185,12742,5821,6221,6819
"DNA_vOTU_8789",129616,"dsDNAphage","Medium-quality","Genome-fragment","LYTIC","NO",NA,NA,NA,NA,NA,NA,"Clustered",1080,0,"NO",NA,"SUBSURFACE",33,35,67,61,95,75,40,7,32,36,68,15,144,193,28,9287,704,117,60,202,31,1770,622,68
"DNA_vOTU_5918",129371,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Frankiaceae","Frankia","WIsH","Clustered",308,2,"NO","SUBSURFACE",NA,17792,8315,3299,3507,6572,11012,16388,8570,1746,2714,13762,12988,2328,1870,2380,1650,1957,2571,1133,918,1555,929,1563,1746
"DNA_vOTU_8270",127916,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","CRISPR spacer (database)","Clustered",281,1,"NO",NA,NA,6755,6548,11132,15151,18243,8000,6181,7768,6330,12697,13146,3424,22744,21269,8691,21208,25125,45468,14560,10914,9073,13965,20132,30430
"DNA_vOTU_9332",127161,"dsDNAphage","High-quality","High-quality","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Frankiaceae","Frankia","WIsH","Outlier",NA,NA,"YES",NA,NA,966,882,2140,16472,3132,2305,1020,619,913,4980,2304,596,3416,3242,960,2616,7353,4957,2823,2177,764,4787,4772,4326
"DNA_vOTU_6465",126687,"dsDNAphage","Medium-quality","Genome-fragment","LYTIC","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Polyangiaceae","Sorangium","WIsH","Clustered",309,1,"NO",NA,NA,13824,8053,2873,2531,3944,7048,15941,11488,1373,1735,4061,4102,1542,1470,1721,1648,1868,1779,903,942,1408,1023,1326,1111
"DNA_vOTU_6222",123229,"dsDNAphage","Not-determined","Genome-fragment","TEMPERATE","NO","Pseudomonadota","BetaPseudomonadota","Burkholderiales","Burkholderiaceae","Salinispora","WIsH","Clustered",554,1,"NO","SUBSURFACE",NA,11898,17157,1661,2605,3192,6136,7276,11665,516,1281,3233,3679,868,816,667,715,1116,1493,865,515,475,565,712,973
"DNA_vOTU_4457",122550,"dsDNAphage","Medium-quality","Genome-fragment","TEMPERATE","NO",NA,NA,NA,NA,NA,NA,"Clustered",433,0,"NO",NA,NA,226,507,4834,46443,10887,1095,313,455,1307,27157,6675,303,3959,3610,1669,7185,8689,7140,3258,1684,1090,6399,6864,5825
"DNA_vOTU_7141",122448,"dsDNAphage","Low-quality","Genome-fragment","TEMPERATE","NO","Actinomycetota","Actinomycetia","Actinomycetales","Streptosporangiaceae","Streptosporangium","WIsH","Singleton",NA,NA,NA,"SUBSURFACE",NA,23562,14527,2838,3147,4502,9186,16380,13446,1357,2564,3626,7572,3447,2289,2072,1441,1841,2749,1178,1152,1211,797,1302,1912
"DNA_vOTU_6224",122199,"dsDNAphage","Medium-quality","Genome-fragment","LYTIC","NO","Pseudomonadota","DeltaPseudomonadota","Myxococcales","Polyangiaceae","Sorangium","WIsH","Clustered",287,0,"NO",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNA_vOTU_2182",121934,"dsDNAphage","Medium-quality","Genome-fragment","LYTIC","NO","Actinomycetota","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","CRISPR spacer (database)","Clustered",254,0,"NO","SUBSURFACE",NA,10145,6954,3530,14269,10290,9833,7329,10352,1437,5318,19775,4303,3127,2708,2356,3067,7090,4494,2591,1783,1845,2526,3239,3210
"DNA_vOTU_8320",121575,"dsDNAphage","Medium-quality","Genome-fragment","LYTIC","NO","Actinomycetota","Actinomycetia","Actinomycetales","Frankiaceae","Frankia","WIsH","Clustered",267,2,"NO",NA,"SUBSURFACE",2782,2398,4273,12368,6679,4707,2693,2590,2034,6137,6245,1662,17144,12047,2251,9023,21095,45428,27261,9010,2077,11301,20801,38278
