sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
Sage1_L_60_16_scaffold_107951_CAS_Cluster_33	Cas	CAS_Cluster	Sage1_L_60_16_scaffold_107951_1	Sage1_L_60_16_scaffold_107951_3	Sage1_L_60_16_scaffold_107951_1,Sage1_L_60_16_scaffold_107951_2,Sage1_L_60_16_scaffold_107951_3	3	cas2_I_II_III_IV_V_VI_3,cas1_I_II_III_IV_V_VI_1,cas4_I_II_III_IV_V_VI_1
Sage1_L_60_16_scaffold_15079_CAS_Class1-Subtype-III-B_111	Cas	CAS_Class1-Subtype-III-B	Sage1_L_60_16_scaffold_15079_2	Sage1_L_60_16_scaffold_15079_6	Sage1_L_60_16_scaffold_15079_2,Sage1_L_60_16_scaffold_15079_3,Sage1_L_60_16_scaffold_15079_4,Sage1_L_60_16_scaffold_15079_5,Sage1_L_60_16_scaffold_15079_6	5	cmr6gr7_III-B_3,cmr5gr11_III-B_4,cmr4gr7_III-B_III-C_1,cmr1gr7_III-B_1,cmr3gr5_III-B_III-C_8
Sage1_L_60_16_scaffold_28064_CAS_Class1-Subtype-I-A_155	Cas	CAS_Class1-Subtype-I-A	Sage1_L_60_16_scaffold_28064_3	Sage1_L_60_16_scaffold_28064_4	Sage1_L_60_16_scaffold_28064_3,Sage1_L_60_16_scaffold_28064_4	2	cas5_I-A_15,cas7_I_15
Sage1_L_60_16_scaffold_29545_CAS_Class1-Subtype-I-D_146	Cas	CAS_Class1-Subtype-I-D	Sage1_L_60_16_scaffold_29545_2	Sage1_L_60_16_scaffold_29545_4	Sage1_L_60_16_scaffold_29545_2,Sage1_L_60_16_scaffold_29545_3,Sage1_L_60_16_scaffold_29545_4	3	cas6_I_II_III_IV_V_VI_22,csc1gr5_I-D_2,csc2gr7_I-D_1
Sage1_L_60_16_scaffold_4406_CAS_Class1-Subtype-III-D_94	Cas	CAS_Class1-Subtype-III-D	Sage1_L_60_16_scaffold_4406_12	Sage1_L_60_16_scaffold_4406_22	Sage1_L_60_16_scaffold_4406_12,Sage1_L_60_16_scaffold_4406_14,Sage1_L_60_16_scaffold_4406_17,Sage1_L_60_16_scaffold_4406_18,Sage1_L_60_16_scaffold_4406_22	5	cas10_III-D_3,csx10gr5_III-D_3,csm3gr7_III-A_III-D_2,csm3gr7_III-A_III-D_2,cas6_I_II_III_IV_V_VI_22
Sage1_L_60_16_scaffold_4439_CAS_Class1-Subtype-III-C_134	Cas	CAS_Class1-Subtype-III-C	Sage1_L_60_16_scaffold_4439_5	Sage1_L_60_16_scaffold_4439_10	Sage1_L_60_16_scaffold_4439_5,Sage1_L_60_16_scaffold_4439_6,Sage1_L_60_16_scaffold_4439_7,Sage1_L_60_16_scaffold_4439_8,Sage1_L_60_16_scaffold_4439_9,Sage1_L_60_16_scaffold_4439_10	6	cmr1gr7_III-B_III-C_3,cmr6gr7_III-C_1,cas10_III-C_3,cmr4gr7_III-B_III-C_2,cmr5gr11_III-C_11,cmr3gr5_III-C_1
Sage1_L_60_16_scaffold_5784_CAS_Class1-Subtype-I-B_5	Cas	CAS_Class1-Subtype-I-B	Sage1_L_60_16_scaffold_5784_1	Sage1_L_60_16_scaffold_5784_10	Sage1_L_60_16_scaffold_5784_1,Sage1_L_60_16_scaffold_5784_2,Sage1_L_60_16_scaffold_5784_3,Sage1_L_60_16_scaffold_5784_4,Sage1_L_60_16_scaffold_5784_5,Sage1_L_60_16_scaffold_5784_6,Sage1_L_60_16_scaffold_5784_7,Sage1_L_60_16_scaffold_5784_8,Sage1_L_60_16_scaffold_5784_10	9	cas4_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3,cas1_I_II_III_IV_V_VI_1,cas6_I_II_III_IV_V_VI_17,cas3_I_2,cas5_I-B_1,cas7_I-B_6,cas8b2_I-B_6,WYL_I_II_III_IV_V_VI_1
Sage1_L_60_16_scaffold_6776_CAS_Class1-Subtype-III-B_114	Cas	CAS_Class1-Subtype-III-B	Sage1_L_60_16_scaffold_6776_4	Sage1_L_60_16_scaffold_6776_13	Sage1_L_60_16_scaffold_6776_4,Sage1_L_60_16_scaffold_6776_6,Sage1_L_60_16_scaffold_6776_7,Sage1_L_60_16_scaffold_6776_8,Sage1_L_60_16_scaffold_6776_9,Sage1_L_60_16_scaffold_6776_10,Sage1_L_60_16_scaffold_6776_11,Sage1_L_60_16_scaffold_6776_12,Sage1_L_60_16_scaffold_6776_13	9	csx15_I_III_1,cmr6gr7_III-B_3,cmr5gr11_III-B_18,cmr4gr7_III-B_III-C_1,cmr3gr5_III-B_III-C_5,cas10_III_1,cmr1gr7_III-B_III-C_3,csx1_III_10,csx3_I_III_3
Sage1_L_60_16_scaffold_8424_CAS_Cluster_34	Cas	CAS_Cluster	Sage1_L_60_16_scaffold_8424_1	Sage1_L_60_16_scaffold_8424_2	Sage1_L_60_16_scaffold_8424_1,Sage1_L_60_16_scaffold_8424_2	2	cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3
Sage1_L_60_16_scaffold_8953_CAS_Cluster_8	Cas	CAS_Cluster	Sage1_L_60_16_scaffold_8953_1	Sage1_L_60_16_scaffold_8953_4	Sage1_L_60_16_scaffold_8953_1,Sage1_L_60_16_scaffold_8953_2,Sage1_L_60_16_scaffold_8953_3,Sage1_L_60_16_scaffold_8953_4	4	cas2_I_II_III_IV_V_VI_3,cas1_I_II_III_IV_V_VI_1,cas4_I_II_III_IV_V_VI_1,RT_I_II_III_IV_V_VI_1
Sage1_L_60_16_scaffold_8971_CAS_Class1-Subtype-I-D_102	Cas	CAS_Class1-Subtype-I-D	Sage1_L_60_16_scaffold_8971_1	Sage1_L_60_16_scaffold_8971_7	Sage1_L_60_16_scaffold_8971_1,Sage1_L_60_16_scaffold_8971_2,Sage1_L_60_16_scaffold_8971_3,Sage1_L_60_16_scaffold_8971_4,Sage1_L_60_16_scaffold_8971_5,Sage1_L_60_16_scaffold_8971_6,Sage1_L_60_16_scaffold_8971_7	7	cas1_I_II_III_IV_V_VI_10,cas4_I_II_III_IV_V_VI_1,WYL_I_II_III_IV_V_VI_4,cas10d_I-D_3,csc2gr7_I-D_1,csc1gr5_I-D_2,cas3_I-D_4
Sage1_L_60_16_scaffold_9937_CAS_Class1-Subtype-I-D_140	Cas	CAS_Class1-Subtype-I-D	Sage1_L_60_16_scaffold_9937_1	Sage1_L_60_16_scaffold_9937_4	Sage1_L_60_16_scaffold_9937_1,Sage1_L_60_16_scaffold_9937_3,Sage1_L_60_16_scaffold_9937_4	3	cas10d_I-D_3,cas3_I-D_4,WYL_I_II_III_IV_V_VI_4
Sage1_R_100_16_scaffold_14_CAS_Cluster_35	Cas	CAS_Cluster	Sage1_R_100_16_scaffold_14_33	Sage1_R_100_16_scaffold_14_35	Sage1_R_100_16_scaffold_14_33,Sage1_R_100_16_scaffold_14_34,Sage1_R_100_16_scaffold_14_35	3	cas1_I_II_III_IV_V_VI_10,cas2_I_II_III_IV_V_VI_3,cas4_I_II_III_IV_V_VI_1
Sage1_R_100_16_scaffold_15_CAS_Class1-Subtype-I-G_36	Cas	CAS_Class1-Subtype-I-G	Sage1_R_100_16_scaffold_15_79	Sage1_R_100_16_scaffold_15_87	Sage1_R_100_16_scaffold_15_79,Sage1_R_100_16_scaffold_15_81,Sage1_R_100_16_scaffold_15_82,Sage1_R_100_16_scaffold_15_83,Sage1_R_100_16_scaffold_15_84,Sage1_R_100_16_scaffold_15_86,Sage1_R_100_16_scaffold_15_87	7	WYL_I_II_III_IV_V_VI_1,cas3_I-G_3,cas8u1_I-G_1,csb1gr7_I-G_1,csb2gr5_I-G_1,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3
Sage1_R_100_16_scaffold_2942_CAS_Class1-Subtype-I-G_39	Cas	CAS_Class1-Subtype-I-G	Sage1_R_100_16_scaffold_2942_10	Sage1_R_100_16_scaffold_2942_17	Sage1_R_100_16_scaffold_2942_10,Sage1_R_100_16_scaffold_2942_11,Sage1_R_100_16_scaffold_2942_12,Sage1_R_100_16_scaffold_2942_16,Sage1_R_100_16_scaffold_2942_17	5	cas3HD_I_1,cas8u1_I-G_1,csb1gr7_I-G_1,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3
Sage1_R_100_16_scaffold_5503_CAS_Class1-Subtype-I-E_63	Cas	CAS_Class1-Subtype-I-E	Sage1_R_100_16_scaffold_5503_14	Sage1_R_100_16_scaffold_5503_20	Sage1_R_100_16_scaffold_5503_14,Sage1_R_100_16_scaffold_5503_15,Sage1_R_100_16_scaffold_5503_16,Sage1_R_100_16_scaffold_5503_17,Sage1_R_100_16_scaffold_5503_18,Sage1_R_100_16_scaffold_5503_19,Sage1_R_100_16_scaffold_5503_20	7	cas3_I_2,cas8e_I-E_5,cse2gr11_I-E_8,cas7_I-E_16,cas5_I-E_13,cas6e_I_II_III_IV_V_VI_2,cas1_I-E_1
Sage1_R_100_16_scaffold_718_CAS_Class1-Subtype-I-E_66	Cas	CAS_Class1-Subtype-I-E	Sage1_R_100_16_scaffold_718_4	Sage1_R_100_16_scaffold_718_9	Sage1_R_100_16_scaffold_718_4,Sage1_R_100_16_scaffold_718_5,Sage1_R_100_16_scaffold_718_6,Sage1_R_100_16_scaffold_718_7,Sage1_R_100_16_scaffold_718_8,Sage1_R_100_16_scaffold_718_9	6	cas6e_I_II_III_IV_V_VI_2,cas5_I-E_13,cas7_I-E_16,cse2gr11_I-E_8,cas8e_I-E_2,cas3_I_2
Sage1_R_100_16_scaffold_79072_CAS_Class1-Subtype-I-G_42	Cas	CAS_Class1-Subtype-I-G	Sage1_R_100_16_scaffold_79072_9	Sage1_R_100_16_scaffold_79072_11	Sage1_R_100_16_scaffold_79072_9,Sage1_R_100_16_scaffold_79072_10,Sage1_R_100_16_scaffold_79072_11	3	cas2_I_II_III_IV_V_VI_3,cas1_I_II_III_IV_V_VI_1,csb2gr5_I-G_1
Sage1_R_113_16_scaffold_120318_CAS_Cluster_45	Cas	CAS_Cluster	Sage1_R_113_16_scaffold_120318_3	Sage1_R_113_16_scaffold_120318_5	Sage1_R_113_16_scaffold_120318_3,Sage1_R_113_16_scaffold_120318_4,Sage1_R_113_16_scaffold_120318_5	3	cas2_I_II_III_IV_V_VI_13,cas1_I_II_III_IV_V_VI_1,cas4_I_II_III_IV_V_VI_6
Sage1_R_113_16_scaffold_1670_CAS_Class1-Subtype-I-G_83	Cas	CAS_Class1-Subtype-I-G	Sage1_R_113_16_scaffold_1670_18	Sage1_R_113_16_scaffold_1670_28	Sage1_R_113_16_scaffold_1670_18,Sage1_R_113_16_scaffold_1670_22,Sage1_R_113_16_scaffold_1670_23,Sage1_R_113_16_scaffold_1670_24,Sage1_R_113_16_scaffold_1670_25,Sage1_R_113_16_scaffold_1670_28	6	WYL_I_II_III_IV_V_VI_4,cas3_I-G_3,cas8u2_I-G_1,csb1gr7_I-G_1,csb2gr5_I-G_1,csb2gr5_I-G_1
Sage1_R_113_16_scaffold_3385_CAS_Class1-Subtype-I-G_117	Cas	CAS_Class1-Subtype-I-G	Sage1_R_113_16_scaffold_3385_2	Sage1_R_113_16_scaffold_3385_4	Sage1_R_113_16_scaffold_3385_2,Sage1_R_113_16_scaffold_3385_3,Sage1_R_113_16_scaffold_3385_4	3	cas3HD_I_1,cas8u1_I-G_1,csb1gr7_I-G_1
Sage1_R_113_16_scaffold_3385_CAS_Class1-Subtype-III-B_118	Cas	CAS_Class1-Subtype-III-B	Sage1_R_113_16_scaffold_3385_10	Sage1_R_113_16_scaffold_3385_16	Sage1_R_113_16_scaffold_3385_10,Sage1_R_113_16_scaffold_3385_11,Sage1_R_113_16_scaffold_3385_12,Sage1_R_113_16_scaffold_3385_13,Sage1_R_113_16_scaffold_3385_14,Sage1_R_113_16_scaffold_3385_15,Sage1_R_113_16_scaffold_3385_16	7	csx1_III_9,cmr1gr7_III-B_1,cas10_III_1,cmr3gr5_III-B_III-C_5,cmr4gr7_III-B_III-C_1,cmr5gr11_III-B_18,cmr6gr7_III-B_3
Sage1_R_113_16_scaffold_419_CAS_Cluster_46	Cas	CAS_Cluster	Sage1_R_113_16_scaffold_419_33	Sage1_R_113_16_scaffold_419_35	Sage1_R_113_16_scaffold_419_33,Sage1_R_113_16_scaffold_419_34,Sage1_R_113_16_scaffold_419_35	3	cas2_I_II_III_IV_V_VI_3,cas1_I_II_III_IV_V_VI_1,cas4_I_II_III_IV_V_VI_1
Sage1_R_113_16_scaffold_4270_CAS_Cluster_20	Cas	CAS_Cluster	Sage1_R_113_16_scaffold_4270_26	Sage1_R_113_16_scaffold_4270_27	Sage1_R_113_16_scaffold_4270_26,Sage1_R_113_16_scaffold_4270_27	2	cas1_I_II_III_IV_V_VI_10,cas2_I_II_III_IV_V_VI_3
Sage1_R_113_16_scaffold_70624_CAS_Class1-Subtype-I-E_76	Cas	CAS_Class1-Subtype-I-E	Sage1_R_113_16_scaffold_70624_2	Sage1_R_113_16_scaffold_70624_4	Sage1_R_113_16_scaffold_70624_2,Sage1_R_113_16_scaffold_70624_3,Sage1_R_113_16_scaffold_70624_4	3	cas6e_I_II_III_IV_V_VI_2,cas1_I-E_1,cas2_I-E_1
Sage1_R_113_16_scaffold_81394_CAS_Class1-Subtype-I-E_78	Cas	CAS_Class1-Subtype-I-E	Sage1_R_113_16_scaffold_81394_2	Sage1_R_113_16_scaffold_81394_4	Sage1_R_113_16_scaffold_81394_2,Sage1_R_113_16_scaffold_81394_3,Sage1_R_113_16_scaffold_81394_4	3	cas2_I-E_1,cas1_I-E_1,cas6e_I_II_III_IV_V_VI_3
Sage1_R_113_16_scaffold_92271_CAS_Class1-Subtype-I-G_86	Cas	CAS_Class1-Subtype-I-G	Sage1_R_113_16_scaffold_92271_3	Sage1_R_113_16_scaffold_92271_4	Sage1_R_113_16_scaffold_92271_3,Sage1_R_113_16_scaffold_92271_4	2	csb2gr5_I-G_1,csb1gr7_I-G_1
Sage1_R_60_16_scaffold_11118_CAS_Class1-Subtype-I-G_47	Cas	CAS_Class1-Subtype-I-G	Sage1_R_60_16_scaffold_11118_2	Sage1_R_60_16_scaffold_11118_6	Sage1_R_60_16_scaffold_11118_2,Sage1_R_60_16_scaffold_11118_3,Sage1_R_60_16_scaffold_11118_5,Sage1_R_60_16_scaffold_11118_6	4	csb1gr7_I-G_1,csb2gr5_I-G_1,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3
Sage1_R_60_16_scaffold_36205_CAS_Class1-Subtype-I-G_69	Cas	CAS_Class1-Subtype-I-G	Sage1_R_60_16_scaffold_36205_2	Sage1_R_60_16_scaffold_36205_3	Sage1_R_60_16_scaffold_36205_2,Sage1_R_60_16_scaffold_36205_3	2	cas3_I-G_3,cas8u1_I-G_1
Sage1_R_80_16_scaffold_104_CAS_Class1-Subtype-I-C_9	Cas	CAS_Class1-Subtype-I-C	Sage1_R_80_16_scaffold_104_1	Sage1_R_80_16_scaffold_104_7	Sage1_R_80_16_scaffold_104_1,Sage1_R_80_16_scaffold_104_2,Sage1_R_80_16_scaffold_104_3,Sage1_R_80_16_scaffold_104_4,Sage1_R_80_16_scaffold_104_5,Sage1_R_80_16_scaffold_104_6,Sage1_R_80_16_scaffold_104_7	7	cas2_I_II_III_IV_V_VI_3,cas1_I_II_III_IV_V_VI_6,cas4_I_II_III_IV_V_VI_1,cas7_I-C_7,cas8c_I-C_4,cas5_I-C_11,cas3_I_5
Sage1_R_80_16_scaffold_40862_CAS_Class1-Type-III_126	Cas	CAS_Class1-Type-III	Sage1_R_80_16_scaffold_40862_1	Sage1_R_80_16_scaffold_40862_2	Sage1_R_80_16_scaffold_40862_1,Sage1_R_80_16_scaffold_40862_2	2	cas10_III_1,cmr3gr5_III-B_III-C_5
Sage2_L_100_16_scaffold_103077_CAS_Cluster_12	Cas	CAS_Cluster	Sage2_L_100_16_scaffold_103077_1	Sage2_L_100_16_scaffold_103077_2	Sage2_L_100_16_scaffold_103077_1,Sage2_L_100_16_scaffold_103077_2	2	cas2_I_II_III_IV_V_VI_13,cas1_I_II_III_IV_V_VI_1
Sage2_L_100_16_scaffold_12038_CAS_Class1-Subtype-I-G_70	Cas	CAS_Class1-Subtype-I-G	Sage2_L_100_16_scaffold_12038_3	Sage2_L_100_16_scaffold_12038_6	Sage2_L_100_16_scaffold_12038_3,Sage2_L_100_16_scaffold_12038_4,Sage2_L_100_16_scaffold_12038_5,Sage2_L_100_16_scaffold_12038_6	4	cas3_I-G_3,cas8u1_I-G_1,csb1gr7_I-G_1,csb2gr5_I-G_1
Sage2_L_100_16_scaffold_8395_CAS_Class1-Subtype-III-A_21	Cas	CAS_Class1-Subtype-III-A	Sage2_L_100_16_scaffold_8395_5	Sage2_L_100_16_scaffold_8395_10	Sage2_L_100_16_scaffold_8395_5,Sage2_L_100_16_scaffold_8395_6,Sage2_L_100_16_scaffold_8395_7,Sage2_L_100_16_scaffold_8395_8,Sage2_L_100_16_scaffold_8395_9,Sage2_L_100_16_scaffold_8395_10	6	cas6_I_II_III_IV_V_VI_17,cas10_III-A_1,csm2gr11_III-A_15,csm3gr7_III-A_1,csm4gr5_III-A_1,csm5gr7_III-A_2
Sage2_L_115_16_scaffold_626_CAS_Class2-Subtype-II-C_105	Cas	CAS_Class2-Subtype-II-C	Sage2_L_115_16_scaffold_626_1	Sage2_L_115_16_scaffold_626_2	Sage2_L_115_16_scaffold_626_1,Sage2_L_115_16_scaffold_626_2	2	cas1_I_II_III_IV_V_VI_5,cas9_II-A_II-B_II-C_3
Sage2_L_115_16_scaffold_62768_CAS_Class1-Subtype-I-G_88	Cas	CAS_Class1-Subtype-I-G	Sage2_L_115_16_scaffold_62768_1	Sage2_L_115_16_scaffold_62768_3	Sage2_L_115_16_scaffold_62768_1,Sage2_L_115_16_scaffold_62768_2,Sage2_L_115_16_scaffold_62768_3	3	cas8u2_I-G_1,cas7_I-G_4,csb2gr5_I-G_1
Sage2_L_115_16_scaffold_78065_CAS_Cluster_50	Cas	CAS_Cluster	Sage2_L_115_16_scaffold_78065_1	Sage2_L_115_16_scaffold_78065_2	Sage2_L_115_16_scaffold_78065_1,Sage2_L_115_16_scaffold_78065_2	2	cas2_I_II_III_IV_V_VI_3,cas1_I_II_III_IV_V_VI_1
Sage2_L_40_16_scaffold_26040_CAS_Class2-Subtype-II-C_24	Cas	CAS_Class2-Subtype-II-C	Sage2_L_40_16_scaffold_26040_1	Sage2_L_40_16_scaffold_26040_3	Sage2_L_40_16_scaffold_26040_1,Sage2_L_40_16_scaffold_26040_3	2	cas9_II-A_II-B_II-C_3,cas2_I_II_III_IV_V_VI_6
Sage2_L_40_16_scaffold_30044_CAS_Class1-Subtype-I-G_51	Cas	CAS_Class1-Subtype-I-G	Sage2_L_40_16_scaffold_30044_1	Sage2_L_40_16_scaffold_30044_7	Sage2_L_40_16_scaffold_30044_1,Sage2_L_40_16_scaffold_30044_2,Sage2_L_40_16_scaffold_30044_3,Sage2_L_40_16_scaffold_30044_4,Sage2_L_40_16_scaffold_30044_6,Sage2_L_40_16_scaffold_30044_7	6	cas3HD_I_1,cas8u1_I-G_1,csb1gr7_I-G_1,csb2gr5_I-G_1,cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3
Sage2_L_40_16_scaffold_31348_CAS_Class1-Subtype-III-D_108	Cas	CAS_Class1-Subtype-III-D	Sage2_L_40_16_scaffold_31348_2	Sage2_L_40_16_scaffold_31348_5	Sage2_L_40_16_scaffold_31348_2,Sage2_L_40_16_scaffold_31348_5	2	csm3gr7_III-D_4,cas11_III-D_1
Sage2_L_40_16_scaffold_36541_CAS_Class1-Subtype-III-D_99	Cas	CAS_Class1-Subtype-III-D	Sage2_L_40_16_scaffold_36541_1	Sage2_L_40_16_scaffold_36541_3	Sage2_L_40_16_scaffold_36541_1,Sage2_L_40_16_scaffold_36541_2,Sage2_L_40_16_scaffold_36541_3	3	csm3gr7_III-D_3,cas10_III-D_3,cas2_I_II_III_IV_V_VI_3
Sage2_L_60_16_scaffold_13532_CAS_Class1-Subtype-I-E_73	Cas	CAS_Class1-Subtype-I-E	Sage2_L_60_16_scaffold_13532_2	Sage2_L_60_16_scaffold_13532_7	Sage2_L_60_16_scaffold_13532_2,Sage2_L_60_16_scaffold_13532_3,Sage2_L_60_16_scaffold_13532_4,Sage2_L_60_16_scaffold_13532_5,Sage2_L_60_16_scaffold_13532_6,Sage2_L_60_16_scaffold_13532_7	6	cas3_I_5,cas8e_I-E_2,cse2gr11_I-E_2,cas7_I-E_16,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_3
Sage2_L_80_16_scaffold_11623_CAS_Class1-Subtype-I-G_54	Cas	CAS_Class1-Subtype-I-G	Sage2_L_80_16_scaffold_11623_1	Sage2_L_80_16_scaffold_11623_6	Sage2_L_80_16_scaffold_11623_1,Sage2_L_80_16_scaffold_11623_2,Sage2_L_80_16_scaffold_11623_4,Sage2_L_80_16_scaffold_11623_5,Sage2_L_80_16_scaffold_11623_6	5	cas1_I_II_III_IV_V_VI_1,csb2gr5_I-G_1,csb1gr7_I-G_1,cas8u1_I-G_1,cas3_I_2
Sage2_L_80_16_scaffold_11916_CAS_Cluster_57	Cas	CAS_Cluster	Sage2_L_80_16_scaffold_11916_1	Sage2_L_80_16_scaffold_11916_2	Sage2_L_80_16_scaffold_11916_1,Sage2_L_80_16_scaffold_11916_2	2	cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3
Sage2_L_80_16_scaffold_13923_CAS_Class1-Subtype-I-F_141	Cas	CAS_Class1-Subtype-I-F	Sage2_L_80_16_scaffold_13923_10	Sage2_L_80_16_scaffold_13923_11	Sage2_L_80_16_scaffold_13923_10,Sage2_L_80_16_scaffold_13923_11	2	cas6f_I_II_III_IV_V_VI_2,cas7f_I-F_2
Sage2_L_80_16_scaffold_147838_CAS_Cluster_58	Cas	CAS_Cluster	Sage2_L_80_16_scaffold_147838_1	Sage2_L_80_16_scaffold_147838_2	Sage2_L_80_16_scaffold_147838_1,Sage2_L_80_16_scaffold_147838_2	2	cas1_I_II_III_IV_V_VI_1,cas2_I_II_III_IV_V_VI_3
Sage2_L_80_16_scaffold_15944_CAS_Class1-Type-III_97	Cas	CAS_Class1-Type-III	Sage2_L_80_16_scaffold_15944_1	Sage2_L_80_16_scaffold_15944_3	Sage2_L_80_16_scaffold_15944_1,Sage2_L_80_16_scaffold_15944_2,Sage2_L_80_16_scaffold_15944_3	3	cmr4gr7_III-B_III-C_2,cmr3gr5_III-B_III-C_5,cas10_III_1
