TARGET	PFAM	LOCUS	E-VAL	SCORE	BIAS	DESCRIPTION
Phage_integrase	PF00589.22	SAGEDEP_090335	8.40E-18	55.7	0.5	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_090384	3.00E-12	37.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_090401	2.20E-19	60.8	0	Phage integrase family
DDE_Tnp_ISL3	PF01610.17	SAGEDEP_090509	1.70E-39	126.9	0	Transposase
Phage_integrase	PF00589.22	SAGEDEP_090510	2.90E-36	115.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_090511	3.10E-25	79.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_090512	3.40E-25	79.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_090673	4.80E-10	30.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_090849	6.80E-37	117.8	0.1	Phage integrase family
DDE_Tnp_1_4	PF13701.6	SAGEDEP_090964	1.10E-34	110.3	0	Transposase DDE domain group 1
DDE_Tnp_1	PF01609.21	SAGEDEP_090964	1.10E-15	48.7	0	Transposase DDE domain
Recombinase	PF07508.13	SAGEDEP_091280	2.40E-23	73.5	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_091281	1.50E-40	129.6	1.6	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_091281	5.80E-20	62.7	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_091493	7.70E-25	78.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_091684	4.40E-20	63.1	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_091788	4.00E-37	118.5	0	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_091830	5.70E-31	98.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_091839	8.70E-17	52.3	0.6	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_091841	1.70E-24	77.4	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_091847	9.10E-23	71.9	0.5	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_091847	3.00E-12	37.9	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_091857	1.60E-11	35.4	0.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_091941	8.10E-18	55.8	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_091943	1.50E-19	61.5	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_091943	5.90E-18	56.2	0.1	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_091970	4.70E-16	50	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_091973	3.00E-09	27.8	0.2	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_092122	5.90E-20	62.8	0	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_092193	5.00E-34	108.5	0.4	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_092328	3.80E-10	30.7	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_092335	1.00E-15	49.1	0.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_092335	2.40E-10	31.8	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_092347	1.40E-29	94	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_092468	3.80E-25	79.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_092475	6.30E-10	30	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_092484	5.70E-28	88.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_092500	4.90E-09	27.1	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_092573	3.20E-29	92.9	0.2	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_092573	2.80E-15	47.6	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_092592	2.80E-19	60.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_092600	3.60E-19	60.1	0.3	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_150053	3.10E-12	37.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_150090	1.90E-17	54.5	0	Phage integrase family
DDE_Tnp_1	PF01609.21	SAGEDEP_150115	1.10E-09	29.2	0	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_150125	4.60E-21	66.3	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_150270	3.60E-30	95.9	0.2	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_150270	3.60E-23	73	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_150317	6.00E-26	82.2	1.3	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_150333	8.90E-19	58.8	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_150333	6.10E-12	36.8	0	"Resolvase, N terminal domain"
Resolvase	PF00239.21	SAGEDEP_150334	4.00E-11	34.1	0	"Resolvase, N terminal domain"
rve	PF00665.26	SAGEDEP_150350	1.50E-24	77.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_150357	1.20E-10	32.6	0.1	Integrase core domain
Resolvase	PF00239.21	SAGEDEP_150427	6.20E-44	140.6	0.6	"Resolvase, N terminal domain"
Resolvase	PF00239.21	SAGEDEP_150430	5.70E-42	134.2	0	"Resolvase, N terminal domain"
Resolvase	PF00239.21	SAGEDEP_150431	9.30E-28	88.1	0.1	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_150465	1.60E-23	74.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_150468	2.20E-32	103.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_150469	2.20E-29	93.4	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_150470	8.90E-22	68.7	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_150470	1.20E-13	42.4	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_150473	8.40E-26	81.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_150474	3.30E-22	70	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_150475	1.40E-37	120.1	0	Phage integrase family
DDE_Tnp_IS66	PF03050.14	SAGEDEP_150478	2.40E-21	67.3	0	Transposase IS66 family
Resolvase	PF00239.21	SAGEDEP_150503	3.90E-34	108.8	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_150503	2.50E-15	47.8	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_150505	4.70E-17	53.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_150515	1.20E-12	38.9	0.1	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_150566	8.60E-20	62.3	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_150566	5.60E-11	33.8	0.1	Recombinase
Resolvase	PF00239.21	SAGEDEP_150597	2.00E-09	28.6	0	"Resolvase, N terminal domain"
rve	PF00665.26	SAGEDEP_150616	7.80E-11	33.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_150750	3.70E-14	43.9	0	Integrase core domain
rve	PF00665.26	SAGEDEP_150779	3.50E-15	47.2	0	Integrase core domain
DDE_Tnp_IS66	PF03050.14	SAGEDEP_150843	1.70E-36	117	0	Transposase IS66 family
Phage_integrase	PF00589.22	SAGEDEP_150859	2.80E-28	89.8	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_150925	1.80E-24	77.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_150950	4.80E-14	43.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_151138	2.30E-26	83.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_151354	5.60E-18	56.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_151378	7.70E-26	81.8	1.4	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_151379	8.00E-14	42.9	1.2	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_151379	7.60E-08	23.7	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_151441	6.20E-42	134.1	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_151441	9.20E-16	49.2	0	Recombinase
DDE_Tnp_IS66	PF03050.14	SAGEDEP_151447	2.60E-107	349.3	0	Transposase IS66 family
Phage_integrase	PF00589.22	SAGEDEP_151496	2.80E-13	41	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_151535	5.60E-18	56.2	0	Phage integrase family
DDE_Tnp_1	PF01609.21	SAGEDEP_151759	1.40E-18	58.2	0	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_151809	1.60E-33	106.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_151918	4.80E-11	33.7	0.5	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_151938	2.20E-12	38	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_151939	5.60E-34	108.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_151998	2.90E-21	66.9	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_152038	1.00E-45	146.4	0.1	"Resolvase, N terminal domain"
rve	PF00665.26	SAGEDEP_152039	1.10E-20	65	0	Integrase core domain
DDE_Tnp_ISL3	PF01610.17	SAGEDEP_152041	5.70E-19	59.7	0	Transposase
Phage_integrase	PF00589.22	SAGEDEP_152078	4.70E-10	30.4	0	Phage integrase family
rve	PF00665.26	SAGEDEP_152084	1.00E-23	74.8	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_152085	3.70E-33	105.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_152086	2.30E-33	106.3	0.1	Phage integrase family
DDE_Tnp_IS66	PF03050.14	SAGEDEP_152088	1.50E-31	100.7	0.2	Transposase IS66 family
Phage_integrase	PF00589.22	SAGEDEP_152098	1.10E-09	29.3	0.3	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_152174	8.70E-12	36.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_152237	3.30E-22	70	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_152315	1.60E-13	41.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_152316	9.80E-15	45.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_152317	5.20E-32	101.9	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_142803	1.30E-13	42.1	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_142835	2.50E-35	112.7	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_142835	1.10E-11	36	0	Recombinase
DDE_Tnp_IS1595	PF12762.7	SAGEDEP_143343	7.50E-14	42.9	0	ISXO2-like transposase domain
rve	PF00665.26	SAGEDEP_143445	1.00E-11	36.1	0	Integrase core domain
rve	PF00665.26	SAGEDEP_143451	5.40E-26	82.1	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_143575	2.00E-30	96.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_143576	9.40E-31	97.8	0.4	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_143589	2.20E-23	73.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_143618	3.80E-10	30.7	1.6	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_143777	1.20E-12	38.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_143782	1.50E-12	38.6	0.4	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_143783	4.70E-23	72.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_143798	5.90E-26	82.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_143834	6.30E-18	56.1	0	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_143868	6.20E-32	101.1	0.4	Recombinase
Resolvase	PF00239.21	SAGEDEP_143868	3.20E-29	92.9	0.2	"Resolvase, N terminal domain"
Resolvase	PF00239.21	SAGEDEP_143882	2.20E-45	145.3	0.2	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_143889	2.30E-12	38	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_143890	6.80E-13	39.7	0.3	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_143892	4.30E-14	43.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_143924	2.80E-09	27.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_143986	5.90E-12	36.6	0	Phage integrase family
rve	PF00665.26	SAGEDEP_144033	1.30E-13	42.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_144037	5.60E-24	75.6	0	Integrase core domain
Resolvase	PF00239.21	SAGEDEP_144090	1.80E-21	67.7	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_144090	3.90E-15	47.1	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_144200	5.50E-45	144	0.2	"Resolvase, N terminal domain"
DDE_Tnp_1	PF01609.21	SAGEDEP_144275	7.90E-11	32.9	0	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_144382	8.80E-14	42.6	0	Phage integrase family
DDE_Tnp_1_6	PF13751.6	SAGEDEP_144385	2.90E-19	60.5	0.2	Transposase DDE domain
DDE_Tnp_1	PF01609.21	SAGEDEP_144385	2.80E-09	27.8	0.1	Transposase DDE domain
DDE_Tnp_1_6	PF13751.6	SAGEDEP_144390	1.10E-08	26.3	0.3	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_144429	1.00E-12	39.1	0	Phage integrase family
DDE_Tnp_1	PF01609.21	SAGEDEP_144436	9.00E-14	42.5	1.4	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_144453	8.60E-15	45.9	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_144534	1.00E-44	143.1	0.4	"Resolvase, N terminal domain"
DDE_Tnp_1_assoc	PF13808.6	SAGEDEP_144787	1.90E-12	38.1	0	DDE_Tnp_1-associated
Phage_integrase	PF00589.22	SAGEDEP_144918	1.30E-27	87.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_144919	1.30E-33	107.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_144920	1.20E-13	42.1	0	Phage integrase family
rve	PF00665.26	SAGEDEP_145007	1.90E-27	86.8	0	Integrase core domain
rve	PF00665.26	SAGEDEP_145025	6.90E-13	39.8	0	Integrase core domain
rve	PF00665.26	SAGEDEP_145028	3.40E-12	37.6	0	Integrase core domain
Resolvase	PF00239.21	SAGEDEP_145064	2.50E-22	70.5	0.7	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_145064	6.50E-19	59.3	0.1	Recombinase
rve	PF00665.26	SAGEDEP_145100	9.90E-17	52.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_145102	9.50E-19	58.7	0	Integrase core domain
Resolvase	PF00239.21	SAGEDEP_145122	1.00E-20	65.3	0.6	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_145122	2.20E-10	31.9	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_145130	4.60E-34	108.6	0.3	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_145188	1.00E-10	33	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_145210	1.30E-11	35.5	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_145224	6.40E-12	36.5	0.1	Phage integrase family
rve	PF00665.26	SAGEDEP_145241	1.30E-12	38.9	0	Integrase core domain
rve	PF00665.26	SAGEDEP_145251	2.70E-15	47.6	0	Integrase core domain
Resolvase	PF00239.21	SAGEDEP_057889	2.10E-32	103.2	0.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_057889	4.40E-25	79.1	0	Recombinase
rve	PF00665.26	SAGEDEP_057893	7.50E-24	75.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_057968	8.90E-24	75	0	Integrase core domain
rve	PF00665.26	SAGEDEP_058054	2.10E-13	41.5	0	Integrase core domain
rve	PF00665.26	SAGEDEP_058085	9.50E-13	39.4	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_058133	8.20E-15	45.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_058134	1.20E-26	84.4	0.1	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_058207	8.30E-22	68.8	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_058207	2.90E-17	54	0.1	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_058297	3.80E-33	105.6	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_058298	1.00E-24	78.1	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_058353	1.80E-37	119.6	0.2	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_058396	1.20E-17	55.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_058765	1.10E-43	140	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_059018	3.20E-12	37.5	0	Phage integrase family
rve	PF00665.26	SAGEDEP_059092	3.40E-17	53.7	0	Integrase core domain
rve	PF00665.26	SAGEDEP_059122	1.30E-12	38.9	0	Integrase core domain
rve	PF00665.26	SAGEDEP_059130	5.20E-14	43.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_059137	2.30E-14	44.6	0	Integrase core domain
rve	PF00665.26	SAGEDEP_059160	3.50E-13	40.8	0	Integrase core domain
rve	PF00665.26	SAGEDEP_059175	2.90E-15	47.5	0	Integrase core domain
rve	PF00665.26	SAGEDEP_059185	9.00E-16	49.1	0	Integrase core domain
rve	PF00665.26	SAGEDEP_059190	3.00E-13	41	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_059271	1.50E-11	35.3	0.2	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_059304	7.20E-38	120.9	3.3	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_059311	1.80E-24	77.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_059312	1.00E-18	58.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_059313	8.70E-35	110.9	0	Phage integrase family
rve	PF00665.26	SAGEDEP_059322	1.10E-11	35.9	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_059367	1.70E-13	41.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_059394	3.80E-15	47	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_059426	2.80E-31	99.6	0.2	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_059426	4.00E-23	72.8	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_059429	9.70E-31	97.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_059430	1.80E-20	64.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_059431	1.40E-31	100.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_059441	1.70E-32	103.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_059457	2.10E-25	80.4	0	Phage integrase family
DDE_Tnp_ISL3	PF01610.17	SAGEDEP_059520	6.00E-35	112	0	Transposase
Resolvase	PF00239.21	SAGEDEP_059543	2.10E-18	57.8	1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_059543	1.20E-13	42.4	0	Recombinase
DDE_Tnp_ISL3	PF01610.17	SAGEDEP_059586	3.80E-09	27.5	2.4	Transposase
Resolvase	PF00239.21	SAGEDEP_059588	3.70E-16	50.5	2.5	"Resolvase, N terminal domain"
Resolvase	PF00239.21	SAGEDEP_059590	2.20E-24	77.2	0.3	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_059590	1.00E-19	61.8	0	Recombinase
rve	PF00665.26	SAGEDEP_059635	1.40E-13	42	0	Integrase core domain
rve	PF00665.26	SAGEDEP_059652	7.60E-16	49.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_059656	4.40E-15	46.9	0	Integrase core domain
rve	PF00665.26	SAGEDEP_059676	5.80E-14	43.3	0	Integrase core domain
rve	PF00665.26	SAGEDEP_059685	2.50E-11	34.8	0	Integrase core domain
rve	PF00665.26	SAGEDEP_059704	2.20E-13	41.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_059715	7.80E-15	46.1	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_059788	8.80E-25	78.4	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_059798	2.30E-19	60.9	0	"Resolvase, N terminal domain"
Resolvase	PF00239.21	SAGEDEP_059799	1.10E-24	78.2	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_059799	3.50E-14	44.1	0	Recombinase
Recombinase	PF07508.13	SAGEDEP_059800	1.10E-14	45.7	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_059813	1.40E-22	71.2	0.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_059843	2.90E-19	60.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_059895	1.40E-19	61.5	0.4	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_059921	5.80E-25	78.7	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_059921	2.00E-09	28.6	0	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_059931	1.20E-13	42.1	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_059935	1.30E-10	32.2	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_059947	1.10E-18	58.7	1.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_059947	1.80E-15	48.2	0	Recombinase
DDE_Tnp_1	PF01609.21	SAGEDEP_059951	1.80E-16	51.3	0	Transposase DDE domain
DDE_Tnp_1_3	PF13612.6	SAGEDEP_059951	4.90E-14	43.6	0	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_060008	2.70E-30	96.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_060022	3.80E-19	60	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_060024	8.20E-32	101.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_060025	2.50E-21	67.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_060026	1.20E-35	113.7	0	Phage integrase family
rve	PF00665.26	SAGEDEP_060104	4.00E-15	47	0	Integrase core domain
rve	PF00665.26	SAGEDEP_060114	9.30E-15	45.9	0	Integrase core domain
rve	PF00665.26	SAGEDEP_060131	3.80E-12	37.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_060143	2.30E-13	41.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_060146	5.30E-15	46.6	0	Integrase core domain
rve	PF00665.26	SAGEDEP_060207	2.60E-13	41.2	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_118761	3.70E-27	86.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_118771	3.40E-10	30.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_118831	6.30E-27	85.4	0.1	Phage integrase family
DDE_Tnp_ISAZ013	PF07592.11	SAGEDEP_118912	1.50E-16	51.1	0	Rhodopirellula transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_118936	1.50E-21	67.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_119028	9.30E-10	29.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_119042	1.30E-18	58.2	0	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_119043	1.10E-14	45.7	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_119092	1.90E-19	61.2	0.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_119092	4.50E-19	59.8	0.1	Recombinase
DDE_Tnp_1_6	PF13751.6	SAGEDEP_119094	8.00E-16	49.4	0	Transposase DDE domain
DDE_Tnp_1	PF01609.21	SAGEDEP_119094	3.30E-15	47.2	0	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_119096	1.80E-21	67.6	0	Phage integrase family
DDE_Tnp_1	PF01609.21	SAGEDEP_119219	4.10E-13	40.4	0.2	Transposase DDE domain
rve	PF00665.26	SAGEDEP_119380	1.90E-12	38.4	0	Integrase core domain
Resolvase	PF00239.21	SAGEDEP_119386	4.40E-22	69.7	0.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_119386	2.40E-15	47.8	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_119439	9.00E-18	55.6	0	Phage integrase family
