contig	source	pi	num_snps	contig_len	theta	snps_present
DNA_vOTU_10025	Sage2_R_40_16_sorted	0.000245169642499126	4	8323	0.000170088181103821	TRUE
DNA_vOTU_10025	Sage2_R_60_16_sorted	0.000304706920054527	5	8323	0.000205326649114389	TRUE
DNA_vOTU_10025	Sage2_R_80_16_sorted	0.000237913843110523	4	8323	0.000164281078863181	TRUE
DNA_vOTU_10027	Sage1_R_40_16_sorted	0.000383141762452107	8	9123	0.000299949178253816	TRUE
DNA_vOTU_10027	Sage2_L_40_16_sorted	0.000936083077373117	18	9123	0.000697975397413589	TRUE
DNA_vOTU_10028	Sage2_R_80_16_sorted	0.000631243488386346	9	5957	0.000534056045225976	TRUE
DNA_vOTU_10029	Sage2_L_60_16_sorted	0.000153514231184134	2	5359	0.000127489601249965	TRUE
DNA_vOTU_10029	Sage2_L_80_16_sorted	0.000364978640454564	4	5359	0.000254884025492651	TRUE
DNA_vOTU_10042	Sage1_L_100_16_sorted	0.000671343441200875	8	5924	0.000463567076914332	TRUE
DNA_vOTU_10042	Sage1_L_113_16_sorted	0.00117206607216766	22	5924	0.00137057439081751	TRUE
DNA_vOTU_10042	Sage1_L_80_16_sorted	0.000181625487435885	2	5924	0.000125021041487786	TRUE
DNA_vOTU_10042	Sage1_R_100_16_sorted	0.000803076575048072	10	5924	0.000579262219456066	TRUE
DNA_vOTU_10045	Sage2_L_40_16_sorted	0.000574840528111556	7	5992	0.000398851813256315	TRUE
DNA_vOTU_10058	Sage1_L_40_16_sorted	0.000318146027962801	4	6735	0.00022980779450587	TRUE
DNA_vOTU_10058	Sage1_R_40_16_sorted	0.00175916299486773	24	6735	0.00121699267065762	TRUE
DNA_vOTU_10059	Sage1_L_60_16_sorted	0.0037988962225454	58	5115	0.00401373810062312	TRUE
DNA_vOTU_10059	Sage1_R_40_16_sorted	0.000140758335532682	2	5115	0.000135161184539749	TRUE
DNA_vOTU_10059	Sage1_R_60_16_sorted	0.00244299775825999	41	5115	0.00296315339403668	TRUE
DNA_vOTU_10065	Sage2_L_100_16_sorted	0.000102063334436721	2	8087	8.47609613076975e-05	TRUE
DNA_vOTU_10065	Sage2_R_115_16_sorted	0.00185626920320798	31	8087	0.00135535666465671	TRUE
DNA_vOTU_10068	Sage1_L_40_16_sorted	9.76966144365536e-05	3	14788	6.92763920488479e-05	TRUE
DNA_vOTU_10068	Sage1_R_40_16_sorted	0.000126237009986249	5	14788	0.000124412296307079	TRUE
DNA_vOTU_1007	Sage1_L_20_16_sorted	0.000302343159486017	4	5471	0.000251088179553157	TRUE
DNA_vOTU_1007	Sage1_R_20_16_sorted	0.000840576161912923	11	5471	0.000689604971285615	TRUE
DNA_vOTU_1007	Sage2_L_20_16_sorted	0.000163488852103897	2	5471	0.000125590271159612	TRUE
DNA_vOTU_1007	Sage2_L_40_16_sorted	0.00102454425094205	20	5471	0.00129600646151793	TRUE
DNA_vOTU_1007	Sage2_L_60_16_sorted	0.000683854900279666	8	5471	0.000519545489441874	TRUE
DNA_vOTU_1007	Sage2_R_20_16_sorted	0.000543100984115317	7	5471	0.000439162084717354	TRUE
DNA_vOTU_1007	Sage2_R_40_16_sorted	0.00110339303917286	15	5471	0.000972896593703712	TRUE
DNA_vOTU_1007	Sage2_R_80_16_sorted	0.000511599960332044	7	5471	0.00049609050310664	TRUE
DNA_vOTU_10070	Sage1_L_40_16_sorted	3.75304935259899e-05	1	5329	6.40677710916505e-05	TRUE
DNA_vOTU_10072	Sage1_R_113_16_sorted	0.000130403098991294	3	5799	0.000176777952440838	TRUE
DNA_vOTU_10072	Sage2_L_80_16_sorted	0.00020327541901584	3	5799	0.000176777952440838	TRUE
DNA_vOTU_10072	Sage2_R_80_16_sorted	0.000245875591060265	3	5799	0.000183026801369873	TRUE
DNA_vOTU_10078	Sage1_L_40_16_sorted	0.000177923021060276	3	6138	0.000167361349091865	TRUE
DNA_vOTU_10078	Sage1_L_60_16_sorted	0.000377447511205473	6	6138	0.000334558698821563	TRUE
DNA_vOTU_10078	Sage1_L_80_16_sorted	0.00117974958947068	14	6138	0.000807176753108174	TRUE
DNA_vOTU_10078	Sage1_R_40_16_sorted	0.000210602759622368	3	6138	0.000167361349091865	TRUE
DNA_vOTU_10078	Sage1_R_60_16_sorted	0.00102948215417653	18	6138	0.00103712204120982	TRUE
DNA_vOTU_1008	Sage2_R_115_16_sorted	0.000376484216623226	5	6906	0.000247188786669132	TRUE
DNA_vOTU_10080	Sage1_L_100_16_sorted	0.00202895489876967	34	7689	0.00156776883914512	TRUE
DNA_vOTU_10080	Sage1_L_113_16_sorted	0.000848664515941524	14	7689	0.000625142575211049	TRUE
DNA_vOTU_10080	Sage1_R_100_16_sorted	0.00176682030321477	34	7689	0.00156776883914512	TRUE
DNA_vOTU_10080	Sage1_R_113_16_sorted	0.000689173863735497	10	7689	0.000446764135236071	TRUE
DNA_vOTU_10080	Sage1_R_60_16_sorted	0.00113009648303766	18	7689	0.000907470426187004	TRUE
DNA_vOTU_10081	Sage1_L_80_16_sorted	8.74064750716733e-05	1	6356	5.3715725636785e-05	TRUE
DNA_vOTU_10086	Sage1_L_100_16_sorted	0.000259788457969939	4	5391	0.000253417815659607	TRUE
DNA_vOTU_10086	Sage1_L_113_16_sorted	0	1	5391	6.56304794613842e-05	TRUE
DNA_vOTU_10086	Sage1_R_113_16_sorted	0.000103128931790525	2	5391	0.00012675595030533	TRUE
DNA_vOTU_10089	Sage1_L_20_16_sorted	0.00455072754537995	77	6230	0.00481234316917351	TRUE
DNA_vOTU_10089	Sage2_L_20_16_sorted	0.00342951151607188	52	6230	0.00299076792120221	TRUE
DNA_vOTU_10089	Sage2_L_40_16_sorted	0.00119814243095186	14	6230	0.000810216220253146	TRUE
DNA_vOTU_10089	Sage2_R_20_16_sorted	0.00202477549316301	27	6230	0.00155924123251649	TRUE
DNA_vOTU_10090	Sage2_L_100_16_sorted	7.59548611111111e-05	1	6148	5.55691979406585e-05	TRUE
DNA_vOTU_10090	Sage2_L_115_16_sorted	8.13802083333333e-05	1	6148	5.75334899705428e-05	TRUE
DNA_vOTU_10090	Sage2_L_80_16_sorted	7.59548611111111e-05	1	6148	5.55691979406585e-05	TRUE
DNA_vOTU_10090	Sage2_R_100_16_sorted	8.68055555555556e-05	1	6148	5.55691979406585e-05	TRUE
DNA_vOTU_10090	Sage2_R_115_16_sorted	8.13802083333333e-05	1	6148	8.87784090909091e-05	TRUE
DNA_vOTU_10090	Sage2_R_60_16_sorted	0	2	6148	0.000177527923662993	TRUE
DNA_vOTU_10093	Sage1_L_20_16_sorted	0.000545040985365435	6	5182	0.000395616630530018	TRUE
DNA_vOTU_10093	Sage1_L_40_16_sorted	0.000391152081646672	4	5182	0.000273172923013149	TRUE
DNA_vOTU_10093	Sage1_R_20_16_sorted	0.000317705650008587	4	5182	0.000263846330871256	TRUE
DNA_vOTU_10093	Sage1_R_40_16_sorted	0.000404742947246811	4	5182	0.000263846330871256	TRUE
DNA_vOTU_10094	Sage2_L_40_16_sorted	0.000487760816547737	11	11071	0.000339227592233896	TRUE
DNA_vOTU_10096	Sage1_L_40_16_sorted	0.00215991934232977	34	7389	0.00163117751369252	TRUE
DNA_vOTU_10096	Sage1_R_60_16_sorted	0.00224955680919855	35	7389	0.0016789254557288	TRUE
DNA_vOTU_10097	Sage1_L_40_16_sorted	0.00219253621452257	46	7952	0.00205463041059322	TRUE
DNA_vOTU_10097	Sage1_R_60_16_sorted	0.00203884253335496	59	7952	0.00273852385275826	TRUE
DNA_vOTU_1010	Sage2_L_80_16_sorted	0.00110519642893744	12	5429	0.000782480934983985	TRUE
DNA_vOTU_1010	Sage2_R_100_16_sorted	0.000290360046457607	3	5429	0.000203956166906072	TRUE
DNA_vOTU_1010	Sage2_R_80_16_sorted	0.000709699915902611	8	5429	0.000504215842196648	TRUE
DNA_vOTU_10100	Sage2_L_40_16_sorted	0.000774092602886377	14	5433	0.000954440791435939	TRUE
DNA_vOTU_10100	Sage2_L_60_16_sorted	0.000869278622337577	11	5433	0.000786508016763857	TRUE
DNA_vOTU_10100	Sage2_L_80_16_sorted	0.00182614596828922	20	5433	0.00136197270071647	TRUE
DNA_vOTU_10100	Sage2_R_60_16_sorted	0.00163769444591362	19	5433	0.00143559830448284	TRUE
DNA_vOTU_10100	Sage2_R_80_16_sorted	0.00174150834772596	21	5433	0.00158612667865073	TRUE
DNA_vOTU_10103	Sage2_L_100_16_sorted	0.000516966397184183	6	6061	0.000337981011860161	TRUE
DNA_vOTU_10105	Sage2_L_100_16_sorted	0.000302130541230401	4	6399	0.000213419066821319	TRUE
DNA_vOTU_10107	Sage2_R_80_16_sorted	0.00257401168332342	35	6422	0.00192650290925966	TRUE
DNA_vOTU_1011	Sage2_L_100_16_sorted	0.000354915476776629	4	5427	0.000301449974376752	TRUE
DNA_vOTU_1011	Sage2_L_115_16_sorted	0.000322970153103093	4	5427	0.000261067771328667	TRUE
DNA_vOTU_1011	Sage2_L_20_16_sorted	0.000668306683066831	8	5427	0.000543080332248789	TRUE
DNA_vOTU_1011	Sage2_L_40_16_sorted	0.000225563909774436	3	5427	0.000226129232856577	TRUE
DNA_vOTU_1011	Sage2_L_60_16_sorted	0.00025854108956602	3	5427	0.000189150776812967	TRUE
DNA_vOTU_1011	Sage2_L_80_16_sorted	0.000176497147313549	2	5427	0.0001424731921424	TRUE
DNA_vOTU_1011	Sage2_R_100_16_sorted	0	1	5427	0.000100767512553953	TRUE
DNA_vOTU_1011	Sage2_R_115_16_sorted	0.000521876647337902	8	5427	0.000602455004141878	TRUE
DNA_vOTU_1011	Sage2_R_40_16_sorted	0	1	5427	8.86754110474783e-05	TRUE
DNA_vOTU_1011	Sage2_R_80_16_sorted	6.56854896647987e-05	1	5427	6.30735548027721e-05	TRUE
DNA_vOTU_10110	Sage2_L_100_16_sorted	0.00122948318994448	18	7296	0.000843699717003473	TRUE
DNA_vOTU_10110	Sage2_L_115_16_sorted	0.00101343101343101	14	7296	0.000679780312267337	TRUE
DNA_vOTU_10110	Sage2_L_80_16_sorted	0.00136029523896666	20	7296	0.000970315021627821	TRUE
DNA_vOTU_10110	Sage2_R_100_16_sorted	0.000660266855127375	11	7296	0.000556177844727786	TRUE
DNA_vOTU_10110	Sage2_R_80_16_sorted	0.00102124904349873	15	7296	0.000728236016438021	TRUE
DNA_vOTU_10111	Sage2_L_100_16_sorted	0.0004565731237903	7	7273	0.00035446717254196	TRUE
DNA_vOTU_10111	Sage2_L_40_16_sorted	0.000318115775789554	6	7273	0.000281968742310314	TRUE
DNA_vOTU_10111	Sage2_R_100_16_sorted	0.000477763359679132	7	7273	0.000340545050461479	TRUE
DNA_vOTU_10111	Sage2_R_115_16_sorted	0.000235592883259137	4	7273	0.000188030925043318	TRUE
DNA_vOTU_10111	Sage2_R_40_16_sorted	0.000270778833356281	4	7273	0.000194677550532295	TRUE
DNA_vOTU_10112	Sage2_L_100_16_sorted	0.000902439889039554	13	7175	0.000641445409118816	TRUE
DNA_vOTU_10112	Sage2_R_80_16_sorted	0.000623487809417458	13	7175	0.000619545362634879	TRUE
DNA_vOTU_10114	Sage1_L_40_16_sorted	0.000193792258957568	5	10472	0.000163592310564162	TRUE
DNA_vOTU_10114	Sage1_L_60_16_sorted	0.000401995760301949	8	10472	0.000270922216807063	TRUE
DNA_vOTU_10114	Sage1_R_40_16_sorted	0.00032834953789251	7	10472	0.000237079652836362	TRUE
DNA_vOTU_10114	Sage1_R_60_16_sorted	0.000544651880219137	15	10472	0.000490307063878514	TRUE
DNA_vOTU_10114	Sage2_L_40_16_sorted	0.000366183389751123	8	10472	0.00026167246763549	TRUE
DNA_vOTU_10114	Sage2_L_60_16_sorted	0.000406594927142872	9	10472	0.000294353325924576	TRUE
DNA_vOTU_10114	Sage2_R_40_16_sorted	0.000238467844101647	7	10472	0.000246771914888367	TRUE
DNA_vOTU_10114	Sage2_R_60_16_sorted	0.000456761576386133	11	10472	0.000406323555447203	TRUE
DNA_vOTU_10115	Sage1_L_40_16_sorted	0.000405497280497281	8	9155	0.000298441566562417	TRUE
DNA_vOTU_10115	Sage1_L_60_16_sorted	0.000233176667759682	5	9155	0.000186587141844685	TRUE
DNA_vOTU_10115	Sage1_R_40_16_sorted	0.00029140713218956	7	9155	0.000261164907117456	TRUE
DNA_vOTU_10116	Sage1_L_40_16_sorted	0.000529860512624086	9	6998	0.000456962347229408	TRUE
DNA_vOTU_10116	Sage1_L_60_16_sorted	0.000138988737119578	2	6998	0.000101649392488574	TRUE
DNA_vOTU_10116	Sage1_R_60_16_sorted	0.000228387076166291	4	6998	0.000203240340594518	TRUE
DNA_vOTU_10116	Sage2_L_60_16_sorted	0.00019487572679062	3	6998	0.000147247190402849	TRUE
DNA_vOTU_10116	Sage2_L_80_16_sorted	0.000376810205808625	6	6998	0.000304772894708161	TRUE
DNA_vOTU_10116	Sage2_R_100_16_sorted	0.00120072419211587	17	6998	0.000862160396046379	TRUE
DNA_vOTU_10116	Sage2_R_60_16_sorted	0.00141659952385504	21	6998	0.00106441081301395	TRUE
DNA_vOTU_10116	Sage2_R_80_16_sorted	0.000580931405407131	9	6998	0.000441360868906442	TRUE
DNA_vOTU_10117	Sage2_L_20_16_sorted	0.00148532569792412	17	5591	0.00107538617760259	TRUE
DNA_vOTU_10117	Sage2_R_20_16_sorted	0.0010394806435652	11	5591	0.000696586059865491	TRUE
DNA_vOTU_10123	Sage1_R_60_16_sorted	9.77875565334311e-05	1	5454	6.25994045008078e-05	TRUE
DNA_vOTU_10124	Sage2_L_80_16_sorted	0.000611579233487361	9	7371	0.000432369103208907	TRUE
DNA_vOTU_10124	Sage2_R_80_16_sorted	0.000917500414987852	14	7371	0.000649170192864821	TRUE
DNA_vOTU_10130	Sage1_L_40_16_sorted	0.000822910408360187	10	6111	0.000559425122312642	TRUE
DNA_vOTU_10130	Sage1_L_60_16_sorted	0.000433586562460148	6	6111	0.000335875211163213	TRUE
DNA_vOTU_10130	Sage1_L_80_16_sorted	0.000440946029663642	5	6111	0.000279941908943429	TRUE
DNA_vOTU_10130	Sage1_R_40_16_sorted	0.000830056793359546	11	6111	0.000615266820711249	TRUE
DNA_vOTU_10130	Sage1_R_60_16_sorted	0.000408081470550728	6	6111	0.000335875211163213	TRUE
DNA_vOTU_10134	Sage1_R_100_16_sorted	5.23945899442207e-06	1	106033	3.21991410360365e-06	TRUE
DNA_vOTU_1014	Sage2_L_60_16_sorted	0.000194336841830679	3	7302	0.000158453135221642	TRUE
DNA_vOTU_10142	Sage1_R_40_16_sorted	0.00276632929434962	44	6308	0.00246918138508917	TRUE
DNA_vOTU_10142	Sage2_L_100_16_sorted	0.000250306225701656	4	6308	0.00022590558388178	TRUE
DNA_vOTU_10142	Sage2_L_115_16_sorted	0.000727259826876685	9	6308	0.000507881842498585	TRUE
DNA_vOTU_10142	Sage2_L_40_16_sorted	0.000524283610052657	6	6308	0.000338750131652147	TRUE
DNA_vOTU_10142	Sage2_L_80_16_sorted	0.000193530059301871	3	6308	0.000169456261926661	TRUE
DNA_vOTU_10142	Sage2_R_100_16_sorted	0.000325245931572821	4	6308	0.00022590558388178	TRUE
DNA_vOTU_10142	Sage2_R_115_16_sorted	0.000323090305515613	4	6308	0.000218192779771469	TRUE
DNA_vOTU_10142	Sage2_R_60_16_sorted	0.000347887823926163	5	6308	0.000272697405868535	TRUE
DNA_vOTU_10142	Sage2_R_80_16_sorted	0.000244980561325025	4	6308	0.000218192779771469	TRUE
DNA_vOTU_10144	Sage2_L_40_16_sorted	0.000146255430808276	3	5167	0.000198267800317889	TRUE
DNA_vOTU_10144	Sage2_R_40_16_sorted	0.000399974195213212	4	5167	0.000264305904507378	TRUE
DNA_vOTU_10147	Sage2_L_40_16_sorted	0.000402702000519616	4	5142	0.000286778585423659	TRUE
DNA_vOTU_10147	Sage2_L_60_16_sorted	0.00039667074935976	4	5142	0.000341353238019924	TRUE
DNA_vOTU_10147	Sage2_R_40_16_sorted	0.000487044613286577	5	5142	0.000344326672880397	TRUE
DNA_vOTU_10147	Sage2_R_60_16_sorted	0.000522195633220176	6	5142	0.000477011996851721	TRUE
DNA_vOTU_10150	Sage2_L_100_16_sorted	0.000174553435423001	2	5114	0.00014411943795478	TRUE
DNA_vOTU_10150	Sage2_L_115_16_sorted	0.00060044108967788	6	5114	0.000432019872914154	TRUE
DNA_vOTU_10150	Sage2_L_80_16_sorted	0.000651411676651356	7	5114	0.000484132329613208	TRUE
DNA_vOTU_10150	Sage2_R_100_16_sorted	0.00029153884646346	3	5114	0.000200558342753518	TRUE
DNA_vOTU_10150	Sage2_R_80_16_sorted	0.000365439832941791	4	5114	0.000267358772237592	TRUE
DNA_vOTU_10153	Sage1_L_20_16_sorted	0.000865837733492307	13	7830	0.000566993226611685	TRUE
DNA_vOTU_10153	Sage1_L_40_16_sorted	0.000350704148172503	6	7830	0.000295876433547738	TRUE
DNA_vOTU_10154	Sage2_L_60_16_sorted	0.000404314761926953	12	14306	0.000296507000457723	TRUE
DNA_vOTU_10157	Sage1_L_40_16_sorted	0.000587076438140268	7	5656	0.000423744692381532	TRUE
DNA_vOTU_10157	Sage1_R_60_16_sorted	0.00147045192169949	18	5656	0.00112595004827858	TRUE
DNA_vOTU_10158	Sage1_L_40_16_sorted	0.000143606738470036	2	6035	0.000113145700794501	TRUE
DNA_vOTU_10159	Sage1_L_40_16_sorted	0.00232885339287503	29	5613	0.00184870822524643	TRUE
DNA_vOTU_10159	Sage1_R_40_16_sorted	0.00254288689760932	32	5613	0.00212220288449058	TRUE
DNA_vOTU_10159	Sage2_L_100_16_sorted	0.00274583451244715	37	5613	0.00235529861480705	TRUE
DNA_vOTU_10159	Sage2_L_115_16_sorted	0.00247976547976548	34	5613	0.00225402800961277	TRUE
DNA_vOTU_10159	Sage2_L_60_16_sorted	0.00258054461801534	35	5613	0.00231990495018004	TRUE
DNA_vOTU_10159	Sage2_L_80_16_sorted	0.00221597841590624	26	5613	0.00172615663164244	TRUE
DNA_vOTU_10159	Sage2_R_115_16_sorted	0.00197847542358089	31	5613	0.00197549281300694	TRUE
DNA_vOTU_10159	Sage2_R_60_16_sorted	0.00216047790957538	24	5613	0.00159395057804428	TRUE
DNA_vOTU_10159	Sage2_R_80_16_sorted	0.00227849043211467	30	5613	0.0019902826817448	TRUE
DNA_vOTU_10162	Sage2_L_100_16_sorted	0.00132707767908545	18	6184	0.00103023700175231	TRUE
DNA_vOTU_10162	Sage2_R_80_16_sorted	0.00128371089536138	22	6184	0.00121540086524966	TRUE
DNA_vOTU_10165	Sage2_L_100_16_sorted	0.000448706750981146	7	6820	0.000363081487403244	TRUE
DNA_vOTU_10165	Sage2_R_80_16_sorted	0.000524677779407212	11	6820	0.000550753581701344	TRUE
DNA_vOTU_10166	Sage2_L_100_16_sorted	0.00167123060326944	23	6705	0.00126401034761266	TRUE
DNA_vOTU_10166	Sage2_R_80_16_sorted	0.00114398618582719	20	6705	0.00105644280448002	TRUE
DNA_vOTU_10167	Sage2_L_100_16_sorted	0.00135169773714899	18	6635	0.000999526811315119	TRUE
DNA_vOTU_10167	Sage2_L_115_16_sorted	0.00129639214784142	16	6635	0.000853830343910665	TRUE
DNA_vOTU_10167	Sage2_R_115_16_sorted	0.00122558181887892	16	6635	0.00088873653405448	TRUE
DNA_vOTU_10168	Sage1_L_80_16_sorted	0.000259880069388239	6	12179	0.000181264598948298	TRUE
DNA_vOTU_10168	Sage1_R_113_16_sorted	0.000138694989643499	4	12179	0.000112151483008099	TRUE
DNA_vOTU_10170	Sage2_L_100_16_sorted	0.000302039858534051	6	9491	0.000223961412278151	TRUE
DNA_vOTU_10170	Sage2_L_115_16_sorted	0.000402229226255406	9	9491	0.000366417648069808	TRUE
DNA_vOTU_10170	Sage2_L_40_16_sorted	0.000805873685620521	16	9491	0.000620990590883636	TRUE
DNA_vOTU_10173	Sage2_L_115_16_sorted	0.000459327416573391	5	5408	0.000340493175179118	TRUE
DNA_vOTU_10173	Sage2_L_40_16_sorted	0.000864680191603269	10	5408	0.00065363491564167	TRUE
DNA_vOTU_10174	Sage2_L_60_16_sorted	0.000245372829015952	4	8071	0.000175209795479066	TRUE
DNA_vOTU_10174	Sage2_L_80_16_sorted	7.43586565869377e-05	3	8071	0.000126936603847096	TRUE
DNA_vOTU_10177	Sage2_L_80_16_sorted	0.0001096646719041	3	11755	8.7148086143301e-05	TRUE
DNA_vOTU_10177	Sage2_R_80_16_sorted	8.50918992511913e-05	2	11755	5.81036678263114e-05	TRUE
DNA_vOTU_1018	Sage1_L_113_16_sorted	0.000704669914121489	31	20577	0.000532772201174128	TRUE
DNA_vOTU_1018	Sage1_R_113_16_sorted	0.000568356850277177	22	20577	0.000365347407327347	TRUE
DNA_vOTU_10181	Sage1_R_100_16_sorted	1.63863071920526e-05	2	65095	1.04898118794809e-05	TRUE
DNA_vOTU_10183	Sage1_R_100_16_sorted	3.84721404193463e-05	4	56029	2.43743170249268e-05	TRUE
DNA_vOTU_10184	Sage1_R_100_16_sorted	1.13394033853905e-05	2	96027	7.11085740775835e-06	TRUE
DNA_vOTU_10188	Sage2_L_100_16_sorted	0.000731415120116018	10	6819	0.000520061442370186	TRUE
DNA_vOTU_10188	Sage2_L_40_16_sorted	0.000386425673528147	5	6819	0.000260222145449805	TRUE
DNA_vOTU_10188	Sage2_L_60_16_sorted	0.000791082344480403	11	6819	0.000552454938749847	TRUE
DNA_vOTU_10188	Sage2_L_80_16_sorted	0.000552531345528256	10	6819	0.000502305652710616	TRUE
DNA_vOTU_10188	Sage2_R_100_16_sorted	0.000438230725206443	8	6819	0.000401962798701876	TRUE
DNA_vOTU_10188	Sage2_R_40_16_sorted	0.000849771052682389	14	6819	0.000793919869991571	TRUE
DNA_vOTU_10188	Sage2_R_60_16_sorted	0.000608200902491662	9	6819	0.000452141608199919	TRUE
DNA_vOTU_10188	Sage2_R_80_16_sorted	0.000728865356016408	12	6819	0.000602589472829661	TRUE
DNA_vOTU_1019	Sage1_L_113_16_sorted	0.000996368304060612	38	14197	0.000946214354071751	TRUE
DNA_vOTU_1019	Sage1_R_113_16_sorted	3.766744355769e-05	1	14197	2.41130837027619e-05	TRUE
DNA_vOTU_10191	Sage2_L_40_16_sorted	0.00012835720482269	2	8069	9.11976515301907e-05	TRUE
DNA_vOTU_1021	Sage1_L_100_16_sorted	0.000411983271924506	7	7161	0.000346215242290906	TRUE
DNA_vOTU_1021	Sage1_L_60_16_sorted	0.000413537925780825	7	7161	0.000334394860085608	TRUE
DNA_vOTU_1021	Sage1_L_80_16_sorted	0.000885076524668304	13	7161	0.000642431834325066	TRUE
DNA_vOTU_1021	Sage1_R_40_16_sorted	0.000658988825165913	9	7161	0.000429815969971556	TRUE
DNA_vOTU_1021	Sage1_R_60_16_sorted	0.000495865199278742	8	7161	0.000395619208034712	TRUE
DNA_vOTU_1022	Sage1_L_100_16_sorted	0.000731634559527735	11	7082	0.000530675240019989	TRUE
DNA_vOTU_1022	Sage1_L_113_16_sorted	0.000408496732026144	6	7082	0.000346292363099086	TRUE
DNA_vOTU_1022	Sage1_L_20_16_sorted	0.000614305454610712	10	7082	0.000545046539188068	TRUE
DNA_vOTU_1022	Sage1_L_40_16_sorted	0.00047351991364433	7	7082	0.000349837457465447	TRUE
DNA_vOTU_1022	Sage1_R_100_16_sorted	0.000361699166846226	6	7082	0.000299903078941472	TRUE
DNA_vOTU_1022	Sage1_R_113_16_sorted	0.000537366556029076	7	7082	0.000381694403775814	TRUE
DNA_vOTU_1022	Sage1_R_20_16_sorted	0.000479130339161443	7	7082	0.000349837457465447	TRUE
DNA_vOTU_1022	Sage1_R_40_16_sorted	0.000394412231493267	5	7082	0.000288617780586991	TRUE
DNA_vOTU_1022	Sage1_R_60_16_sorted	0.000217246327021401	3	7082	0.000150015177130718	TRUE
DNA_vOTU_1022	Sage1_R_80_16_sorted	0.000204335046604109	3	7082	0.000144893401675232	TRUE
DNA_vOTU_1025	Sage2_L_60_16_sorted	9.58715321469231e-05	1	5573	6.13728477705205e-05	TRUE
DNA_vOTU_1025	Sage2_R_40_16_sorted	0.000199696461378704	2	5573	0.000122723634848097	TRUE
DNA_vOTU_1025	Sage2_R_60_16_sorted	0.000821715630547079	9	5573	0.00055156244288757	TRUE
DNA_vOTU_1026	Sage2_L_100_16_sorted	0.000205238949281993	30	65069	0.000169686514265283	TRUE
DNA_vOTU_1026	Sage2_L_80_16_sorted	0.000132913749568628	18	65069	9.78311713586253e-05	TRUE
DNA_vOTU_1026	Sage2_R_80_16_sorted	3.84833672030904e-05	5	65069	2.9655896280621e-05	TRUE
DNA_vOTU_1027	Sage2_L_115_16_sorted	0.000110157822264591	3	15740	6.50938326305826e-05	TRUE
DNA_vOTU_1027	Sage2_R_80_16_sorted	0.000232966939873351	7	15740	0.000151847008388833	TRUE
DNA_vOTU_103	Sage1_L_100_16_sorted	0.00044968212125911	35	32316	0.000383687445596698	TRUE
