Genome,preVC,VC Status,VC,VC Size,Quality,Adjusted P-value,VC Avg Distance,Topology Confidence Score,Genus Confidence Score
CAKLQF010000008,preVC_247,Clustered/Singleton,VC_247_2,1,0,1,0,0,1
CAKLQF010000009,preVC_285,Clustered,VC_285_0,2,0.6704,0.91237788,6.708203932,0.6116,1
CAKLQF010000010,preVC_248,Clustered,VC_248_0,2,0.5144,0.94713201,7.745966692,0.4872,1
CAKLQF010000011,preVC_264,Clustered,VC_264_0,2,0.5197,0.9396546,3.464101615,0.4883,1
CAKLQF010000012,preVC_288,Clustered,VC_288_0,2,0.9639,0.89435023,1,0.8621,1
CAKLQF010000013,preVC_249,Clustered,VC_249_0,2,0.9514,0.91600907,0,0.8715,1
CAKLQF010000014,preVC_290,Clustered,VC_290_0,2,0.9904,0.76024994,0,0.7529,1
CAKLQF010000015,preVC_250,Clustered,VC_250_0,3,0.8136,0.98396301,7.777352532,0.8005,0.6667
CAKLQF010000016,preVC_284,Clustered,VC_284_0,2,0.9732,0.90058471,0,0.8764,1
CAKLQF010000017,preVC_251,Clustered,VC_251_0,2,0.8786,0.94038846,0,0.8263,1
CAKLQF010000018,preVC_292,Clustered,VC_292_0,2,0.9677,0.76024994,0,0.7357,1
CAKLQF010000019,preVC_293,Clustered,VC_293_0,2,0.641,0.5,5.099019514,0.3205,1
CAKLQF010000020,preVC_294,Clustered,VC_294_0,2,0.9025,0.93085693,0,0.8401,1
CAKLQF010000021,preVC_252,Clustered,VC_252_0,2,0.5305,0.92921057,3.605551275,0.4929,1
CAKLQF010000022,preVC_231,Clustered,VC_231_0,2,0.1518,0.9466884,7.483314774,0.1437,1
CAKLQF010000023,preVC_295,Clustered,VC_295_0,2,1,1,0,1,1
CAKLQF010000024,preVC_233,Clustered,VC_233_0,2,0.9329,0.90058471,0,0.8401,1
CAKLQF010000025,preVC_296,Clustered,VC_296_0,2,1,1,0,1,1
CAKLQF010000026,preVC_297,Clustered,VC_297_0,2,0.9727,0.76024994,0,0.7395,1
CAKLQF010000027,preVC_231,Clustered,VC_231_1,4,0.2591,0.99992402,7.66232935,0.2591,1
CAKLQF010000028,preVC_234,Clustered,VC_234_0,2,0.8578,0.72985431,3.31662479,0.6261,1
CAKLQF010000029,preVC_298,Clustered,VC_298_0,2,0.9311,0.86822376,0,0.8084,1
CAKLQF010000030,preVC_299,Clustered,VC_299_0,2,1,1,0,1,1
CAKLQF010000031,preVC_300,Clustered,VC_300_0,2,0.8998,0.90058471,0,0.8103,1
CAKLQF010000032,preVC_301,Clustered,VC_301_0,2,1,1,0,1,1
CAKLQF010000033,preVC_260,Clustered,VC_260_0,3,0.9087,0.94740375,4.181120362,0.8609,1
CAKLQF010000034,preVC_302,Clustered,VC_302_0,2,1,1,0,1,1
CAKLQF010000035,preVC_303,Clustered,VC_303_0,2,0.9339,0.72985431,0,0.6816,1
CAKLQF010000036,preVC_305,Clustered,VC_305_0,2,1,1,2,1,1
CAKLQF010000037,preVC_306,Clustered,VC_306_0,2,1,1,0,1,1
CAKLQF010000038,preVC_307,Clustered,VC_307_0,2,1,1,0,1,1
CAKLQF010000039,,Singleton,,,,,,,
CAKLQG010000001,preVC_242,Clustered,VC_242_0,47,0.9508,1,4.176040589,0.9508,1
CAKLQH010000001,preVC_230,Clustered,VC_230_0,2,0.3303,0.95458403,6.164414003,0.3153,1
CAKLQH010000002,preVC_275,Clustered,VC_275_0,2,0.7836,0.94377239,0,0.7396,1
CAKLQH010000003,,Overlap (VC_272/VC_279),,,,,,,
CAKLQH010000004,,Overlap (VC_240/VC_241),,,,,,,
CAKLQH010000005,preVC_280,Clustered,VC_280_0,2,0.652,0.9460874,0,0.6168,1
CAKLQH010000006,preVC_283,Clustered,VC_283_0,2,0.8706,0.93722274,1.414213562,0.8159,1
CAKLQH010000007,preVC_264,Clustered,VC_264_0,2,0.5197,0.9396546,3.464101615,0.4883,1
CAKLQH010000008,preVC_288,Clustered,VC_288_0,2,0.9639,0.89435023,1,0.8621,1
CAKLQH010000009,preVC_249,Clustered,VC_249_0,2,0.9514,0.91600907,0,0.8715,1
CAKLQH010000010,preVC_290,Clustered,VC_290_0,2,0.9904,0.76024994,0,0.7529,1
CAKLQH010000011,preVC_285,Clustered,VC_285_0,2,0.6704,0.91237788,6.708203932,0.6116,1
CAKLQH010000012,,Overlap (VC_45/VC_233),,,,,,,
CAKLQH010000013,preVC_284,Clustered,VC_284_0,2,0.9732,0.90058471,0,0.8764,1
CAKLQH010000014,preVC_251,Clustered,VC_251_0,2,0.8786,0.94038846,0,0.8263,1
CAKLQH010000015,preVC_244,Clustered,VC_244_1,2,0.1158,0.94821906,1.414213562,0.1098,1
CAKLQH010000016,preVC_292,Clustered,VC_292_0,2,0.9677,0.76024994,0,0.7357,1
CAKLQH010000017,preVC_294,Clustered,VC_294_0,2,0.9025,0.93085693,0,0.8401,1
CAKLQH010000018,preVC_248,Clustered,VC_248_0,2,0.5144,0.94713201,7.745966692,0.4872,1
CAKLQH010000019,preVC_295,Clustered,VC_295_0,2,1,1,0,1,1
CAKLQH010000020,preVC_233,Clustered,VC_233_0,2,0.9329,0.90058471,0,0.8401,1
CAKLQH010000021,preVC_293,Clustered,VC_293_0,2,0.641,0.5,5.099019514,0.3205,1
CAKLQH010000022,preVC_296,Clustered,VC_296_0,2,1,1,0,1,1
CAKLQH010000023,preVC_297,Clustered,VC_297_0,2,0.9727,0.76024994,0,0.7395,1
CAKLQH010000024,preVC_250,Clustered,VC_250_0,3,0.8136,0.98396301,7.777352532,0.8005,0.6667
CAKLQH010000025,preVC_252,Clustered,VC_252_0,2,0.5305,0.92921057,3.605551275,0.4929,1
CAKLQH010000026,preVC_298,Clustered,VC_298_0,2,0.9311,0.86822376,0,0.8084,1
CAKLQH010000027,preVC_247,Clustered/Singleton,VC_247_0,1,0,1,0,0,1
CAKLQH010000028,,Outlier,,,,,,,
CAKLQH010000029,preVC_299,Clustered,VC_299_0,2,1,1,0,1,1
CAKLQH010000030,preVC_234,Clustered,VC_234_0,2,0.8578,0.72985431,3.31662479,0.6261,1
CAKLQH010000031,preVC_247,Clustered/Singleton,VC_247_1,1,0,1,0,0,1
CAKLQH010000032,,Outlier,,,,,,,
CAKLQH010000033,preVC_250,Clustered,VC_250_0,3,0.8136,0.98396301,7.777352532,0.8005,0.6667
CAKLQH010000034,,Outlier,,,,,,,
CAKLQH010000035,preVC_300,Clustered,VC_300_0,2,0.8998,0.90058471,0,0.8103,1
CAKLQH010000036,,Outlier,,,,,,,
CAKLQH010000037,preVC_301,Clustered,VC_301_0,2,1,1,0,1,1
CAKLQH010000038,preVC_231,Clustered,VC_231_0,2,0.1518,0.9466884,7.483314774,0.1437,1
CAKLQH010000039,,Outlier,,,,,,,
CAKLQH010000040,,Outlier,,,,,,,
CAKLQH010000041,,Outlier,,,,,,,
CAKLQH010000042,,Outlier,,,,,,,
CAKLQH010000043,,Outlier,,,,,,,
CAKLQH010000044,,Outlier,,,,,,,
CAKLQH010000045,preVC_303,Clustered,VC_303_0,2,0.9339,0.72985431,0,0.6816,1
CAKLQH010000046,preVC_302,Clustered,VC_302_0,2,1,1,0,1,1
CAKLQH010000047,preVC_240,Clustered,VC_240_0,3,0.3046,0.99129368,6.036967835,0.3019,1
CAKLQH010000048,,Outlier,,,,,,,
CAKLQH010000049,,Outlier,,,,,,,
CAKLQH010000050,,Outlier,,,,,,,
CAKLQH010000051,preVC_306,Clustered,VC_306_0,2,1,1,0,1,1
CAKLQH010000052,,Outlier,,,,,,,
CAKLQH010000053,preVC_235,Clustered,VC_235_0,2,0.1046,0.85118927,3.31662479,0.0891,1
CAKLQH010000054,preVC_260,Clustered,VC_260_0,3,0.9087,0.94740375,4.181120362,0.8609,1
CAKLQH010000055,,Outlier,,,,,,,
CAKLQH010000056,,Outlier,,,,,,,
CAKLQH010000057,preVC_260,Clustered,VC_260_0,3,0.9087,0.94740375,4.181120362,0.8609,1
CAKLQH010000058,,Outlier,,,,,,,
CAKLQH010000059,preVC_307,Clustered,VC_307_0,2,1,1,0,1,1
CAKLQH010000060,preVC_235,Clustered,VC_235_0,2,0.1046,0.85118927,3.31662479,0.0891,1
CAKLQH010000061,preVC_305,Clustered,VC_305_0,2,1,1,2,1,1
CAKLQH010000062,,Outlier,,,,,,,
CAKLQH010000063,,Outlier,,,,,,,
CP000624,,Overlap (VC_67/VC_185),,,,,,,
CP000625,preVC_98,Clustered,VC_98_0,4,0.7663,0.99996199,6.032622861,0.7663,1
CP000917,preVC_146,Clustered,VC_146_25,14,0.0967,1,7.672293001,0.0967,0.8242
CP013974,preVC_312,Clustered,VC_312_0,3,0.1499,0.99830895,8.239871561,0.1497,1
CP019719,,Outlier,,,,,,,
CP025874,,Outlier,,,,,,,
CP025887,,Outlier,,,,,,,
CP025900,preVC_185,Clustered,VC_185_0,37,0.9203,1,4.022132014,0.9203,1
CP025901,,Outlier,,,,,,,
CP025902,,Outlier,,,,,,,
CP025907,,Outlier,,,,,,,
CP025923,,Outlier,,,,,,,
CP038007,,Overlap (VC_27/VC_28/VC_31),,,,,,,
CP045566,,Singleton,,,,,,,
CP051272,preVC_49,Clustered,VC_49_0,21,0.6196,1,6.644596371,0.6196,1
CP051275,,Outlier,,,,,,,
CP051278,preVC_49,Clustered,VC_49_0,21,0.6196,1,6.644596371,0.6196,1
CP051279,preVC_49,Clustered,VC_49_0,21,0.6196,1,6.644596371,0.6196,1
CP051285,preVC_49,Clustered,VC_49_0,21,0.6196,1,6.644596371,0.6196,1
CP051288,preVC_49,Clustered,VC_49_0,21,0.6196,1,6.644596371,0.6196,1
CP052843,,Outlier,,,,,,,
CP053388,preVC_322,Clustered,VC_322_0,5,0.6853,0.99999953,7.299372826,0.6853,1
CP054387,preVC_322,Clustered,VC_322_0,5,0.6853,0.99999953,7.299372826,0.6853,1
CP058330,preVC_322,Clustered,VC_322_0,5,0.6853,0.99999953,7.299372826,0.6853,1
CP058906,preVC_324,Clustered,VC_324_0,3,0.029,0.71754335,6.296153369,0.0208,1
CP059058,preVC_333,Clustered,VC_333_0,11,0.4908,1,2.298342286,0.4908,1
CP060690,preVC_151,Clustered,VC_151_0,3,0.9895,0.92554266,4.298795951,0.9158,1
CP062992,preVC_117,Clustered,VC_117_1,19,0.4102,1,5.960881793,0.4102,1
CP063964,,Singleton,,,,,,,
CP063968,,Outlier,,,,,,,
CP067347,preVC_340,Clustered/Singleton,VC_340_2,1,0,1,0,0,1
CP067352,preVC_340,Clustered/Singleton,VC_340_0,1,0,1,0,0,1
CP069347,,Overlap (VC_222/VC_2368),,,,,,,
CP069348,preVC_340,Clustered/Singleton,VC_340_1,1,0,1,0,0,1
CP071049,preVC_94,Clustered,VC_94_0,10,0.2681,1,7.957749434,0.2681,0.9333
CP084202,,Singleton,,,,,,,
DNA_vOTU_1,,Singleton,,,,,,,
DNA_vOTU_10,preVC_341,Clustered,VC_341_0,2,1,1,1.414213562,1,1
DNA_vOTU_100,,Singleton,,,,,,,
DNA_vOTU_1000,,Singleton,,,,,,,
DNA_vOTU_10000,,Singleton,,,,,,,
DNA_vOTU_10001,preVC_342,Clustered,VC_342_0,8,0.7577,0.99999789,0.553045763,0.7577,1
DNA_vOTU_10002,,Singleton,,,,,,,
DNA_vOTU_10003,,Singleton,,,,,,,
DNA_vOTU_10004,,Singleton,,,,,,,
DNA_vOTU_10005,,Singleton,,,,,,,
DNA_vOTU_10006,,Singleton,,,,,,,
DNA_vOTU_10007,,Singleton,,,,,,,
DNA_vOTU_10008,preVC_344,Clustered,VC_344_0,3,0.5725,0.99826401,5.887840578,0.5715,1
DNA_vOTU_10009,,Singleton,,,,,,,
DNA_vOTU_1001,preVC_352,Clustered,VC_352_0,8,0.8267,0.99999174,1.811256147,0.8267,1
DNA_vOTU_10010,,Singleton,,,,,,,
DNA_vOTU_10011,preVC_354,Clustered,VC_354_0,2,1,1,1.414213562,1,1
DNA_vOTU_10012,,Outlier,,,,,,,
DNA_vOTU_10013,,Singleton,,,,,,,
DNA_vOTU_10014,,Singleton,,,,,,,
DNA_vOTU_10015,,Singleton,,,,,,,
DNA_vOTU_10016,,Singleton,,,,,,,
DNA_vOTU_10017,,Singleton,,,,,,,
DNA_vOTU_10018,preVC_357,Clustered,VC_357_0,4,1,1,3.660308233,1,1
DNA_vOTU_10019,preVC_358,Clustered,VC_358_0,5,0.8584,0.97626476,1.757848477,0.838,1
DNA_vOTU_1002,,Outlier,,,,,,,
DNA_vOTU_10020,preVC_365,Clustered,VC_365_0,2,0.7978,0.5,2.236067977,0.3989,1
DNA_vOTU_10021,preVC_366,Clustered,VC_366_0,3,1,1,1.577350269,1,1
DNA_vOTU_10022,preVC_367,Clustered,VC_367_0,2,1,1,2.449489743,1,1
DNA_vOTU_10023,,Singleton,,,,,,,
DNA_vOTU_10024,,Singleton,,,,,,,
DNA_vOTU_10025,,Singleton,,,,,,,
DNA_vOTU_10026,preVC_368,Clustered,VC_368_0,2,1,1,1,1,1
DNA_vOTU_10027,,Singleton,,,,,,,
DNA_vOTU_10028,,Singleton,,,,,,,
DNA_vOTU_10029,,Singleton,,,,,,,
DNA_vOTU_1003,,Singleton,,,,,,,
DNA_vOTU_10030,,Outlier,,,,,,,
DNA_vOTU_10031,,Singleton,,,,,,,
DNA_vOTU_10032,,Singleton,,,,,,,
DNA_vOTU_10033,,Outlier,,,,,,,
DNA_vOTU_10034,,Singleton,,,,,,,
DNA_vOTU_10035,preVC_376,Clustered,VC_376_0,2,1,1,1.414213562,1,1
DNA_vOTU_10036,,Overlap (VC_378/VC_379),,,,,,,
DNA_vOTU_10037,preVC_369,Clustered,VC_369_0,15,0.8604,1,3.217884122,0.8604,1
DNA_vOTU_10038,,Overlap (VC_326/VC_380),,,,,,,
DNA_vOTU_10039,preVC_385,Clustered,VC_385_0,2,1,1,2,1,1
DNA_vOTU_1004,preVC_386,Clustered,VC_386_0,2,1,1,3,1,1
DNA_vOTU_10040,preVC_388,Clustered/Singleton,VC_388_0,1,0,1,0,0,1
DNA_vOTU_10041,,Outlier,,,,,,,
DNA_vOTU_10042,preVC_360,Clustered,VC_360_0,4,0.6725,0.99965822,2.792015884,0.6723,1
DNA_vOTU_10043,preVC_398,Clustered,VC_398_0,2,1,1,2,1,1
DNA_vOTU_10044,,Singleton,,,,,,,
DNA_vOTU_10045,,Singleton,,,,,,,
DNA_vOTU_10046,,Singleton,,,,,,,
DNA_vOTU_10047,,Singleton,,,,,,,
DNA_vOTU_10048,,Outlier,,,,,,,
DNA_vOTU_10049,,Singleton,,,,,,,
DNA_vOTU_1005,,Singleton,,,,,,,
DNA_vOTU_10050,preVC_401,Clustered,VC_401_0,3,1,1,1.577350269,1,1
DNA_vOTU_10051,,Outlier,,,,,,,
DNA_vOTU_10052,preVC_84,Clustered,VC_84_0,9,0.4948,0.99703856,3.340486225,0.4934,1
DNA_vOTU_10053,,Singleton,,,,,,,
DNA_vOTU_10054,,Singleton,,,,,,,
DNA_vOTU_10055,,Singleton,,,,,,,
DNA_vOTU_10056,,Singleton,,,,,,,
DNA_vOTU_10057,,Singleton,,,,,,,
DNA_vOTU_10058,preVC_342,Clustered,VC_342_0,8,0.7577,0.99999789,0.553045763,0.7577,1
DNA_vOTU_10059,,Singleton,,,,,,,
DNA_vOTU_1006,,Outlier,,,,,,,
DNA_vOTU_10060,,Singleton,,,,,,,
DNA_vOTU_10061,,Outlier,,,,,,,
DNA_vOTU_10062,,Singleton,,,,,,,
DNA_vOTU_10063,preVC_409,Clustered,VC_409_0,3,1,1,1.382088123,1,1
DNA_vOTU_10064,preVC_411,Clustered,VC_411_0,4,0.5364,0.99346676,4.537566901,0.5329,1
DNA_vOTU_10065,preVC_413,Clustered,VC_413_0,2,1,1,0,1,1
DNA_vOTU_10066,preVC_415,Clustered,VC_415_0,2,0.051,0.58945121,2.828427125,0.03,1
DNA_vOTU_10067,preVC_416,Clustered,VC_416_0,7,0.7645,0.99939092,2.832610211,0.764,1
DNA_vOTU_10068,preVC_418,Clustered,VC_418_0,2,0.6616,0.85557782,3.605551275,0.5661,1
DNA_vOTU_10069,,Singleton,,,,,,,
DNA_vOTU_1007,,Singleton,,,,,,,
DNA_vOTU_10070,,Singleton,,,,,,,
DNA_vOTU_10071,,Singleton,,,,,,,
DNA_vOTU_10072,,Outlier,,,,,,,
DNA_vOTU_10073,,Outlier,,,,,,,
DNA_vOTU_10074,,Singleton,,,,,,,
DNA_vOTU_10075,,Singleton,,,,,,,
DNA_vOTU_10076,preVC_421,Clustered,VC_421_0,3,1,1,1.138071187,1,1
DNA_vOTU_10077,,Singleton,,,,,,,
DNA_vOTU_10078,,Singleton,,,,,,,
DNA_vOTU_10079,,Singleton,,,,,,,
DNA_vOTU_1008,,Singleton,,,,,,,
DNA_vOTU_10080,,Singleton,,,,,,,
DNA_vOTU_10081,,Singleton,,,,,,,
DNA_vOTU_10082,,Singleton,,,,,,,
