replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in
Sage1_L_100_16_scaffold_26730	Sage1_L_100_16_scaffold_26730_5	WYL_I_II_III_IV_V_VI_4	744799	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	Sage1_L_100_16_scaffold_26730_CAS_Class1-Subtype-I-D_137	1	1	0.375	3.000	1	WYL_I_II_III_IV_V_VI_1	neutral	297	1.6e-15	63.700	0.988	0.586	115	288		Sage1_L_100_16_scaffold_26730_CAS_Class1-Type-I_138,Sage1_L_100_16_scaffold_26730_CAS_Cluster_139
Sage1_L_113_16_scaffold_101480	Sage1_L_113_16_scaffold_101480_1	cas5_I_9	914522	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	Sage1_L_113_16_scaffold_101480_CAS_Class1-Subtype-I-B_149	1	1	0.250	2.000	1	cas5_I_9	accessory	200	1.2e-09	44.300	0.701	0.815	3	165		Sage1_L_113_16_scaffold_101480_CAS_Class1-Type-I_150,Sage1_L_113_16_scaffold_101480_CAS_Cluster_151
Sage1_L_113_16_scaffold_101480	Sage1_L_113_16_scaffold_101480_2	cas7_I-B_6	914523	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	Sage1_L_113_16_scaffold_101480_CAS_Class1-Subtype-I-B_149	1	1	0.250	2.000	1	cas7_I-B_6	mandatory	311	5e-16	64.900	0.495	0.569	14	190		Sage1_L_113_16_scaffold_101480_CAS_Class1-Type-I_150,Sage1_L_113_16_scaffold_101480_CAS_Cluster_151
Sage1_L_113_16_scaffold_48516	Sage1_L_113_16_scaffold_48516_1	cas6_I_II_III_IV_V_VI_17	757828	defense-finder-models/Cas/Cas/CAS_Cluster	Sage1_L_113_16_scaffold_48516_CAS_Cluster_4	1	1	0.080	4.000	1	cas6_I_II_III_IV_V_VI_7	mandatory	195	1.4e-42	152.200	0.410	0.672	62	192		
Sage1_L_113_16_scaffold_48516	Sage1_L_113_16_scaffold_48516_2	cas1_I_II_III_IV_V_VI_1	757829	defense-finder-models/Cas/Cas/CAS_Cluster	Sage1_L_113_16_scaffold_48516_CAS_Cluster_4	1	1	0.080	4.000	1	cas1_I_II_III_IV_V_VI_1	mandatory	400	2.1e-73	253.300	0.997	0.807	66	388		
Sage1_L_113_16_scaffold_48516	Sage1_L_113_16_scaffold_48516_3	cas2_I_II_III_IV_V_VI_3	757830	defense-finder-models/Cas/Cas/CAS_Cluster	Sage1_L_113_16_scaffold_48516_CAS_Cluster_4	1	1	0.080	4.000	1	cas2_I_II_III_IV_V_VI_1	mandatory	93	4.1e-13	55.400	0.886	0.763	7	77		
Sage1_L_113_16_scaffold_48516	Sage1_L_113_16_scaffold_48516_4	cas4_I_II_III_IV_V_VI_1	757831	defense-finder-models/Cas/Cas/CAS_Cluster	Sage1_L_113_16_scaffold_48516_CAS_Cluster_4	1	1	0.080	4.000	1	cas4_I_II_III_IV_V_VI_1	mandatory	192	1.2e-32	119.700	0.983	0.948	6	187		
Sage1_L_113_16_scaffold_8014	Sage1_L_113_16_scaffold_8014_2	cas8u1_I-G_2	508187	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage1_L_113_16_scaffold_8014_CAS_Class1-Subtype-I-G_80	1	1	0.571	4.000	1	cas8u1_I-G_1	mandatory	317	1.5e-70	244.200	0.978	0.934	18	313		Sage1_L_113_16_scaffold_8014_CAS_Class1-Type-I_81,Sage1_L_113_16_scaffold_8014_CAS_Cluster_82
Sage1_L_113_16_scaffold_8014	Sage1_L_113_16_scaffold_8014_3	cas3_I-G_3	508188	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage1_L_113_16_scaffold_8014_CAS_Class1-Subtype-I-G_80	1	1	0.571	4.000	1	cas3_I-G_3	mandatory	1030	3.9e-87	299.100	0.708	0.629	8	655		Sage1_L_113_16_scaffold_8014_CAS_Class1-Type-I_81,Sage1_L_113_16_scaffold_8014_CAS_Cluster_82
Sage1_L_113_16_scaffold_8014	Sage1_L_113_16_scaffold_8014_4	csb2gr5_I-G_1	508189	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage1_L_113_16_scaffold_8014_CAS_Class1-Subtype-I-G_80	1	1	0.571	4.000	1	cas5u_I-G_1	mandatory	495	4.5e-79	272.900	0.990	0.996	1	493		Sage1_L_113_16_scaffold_8014_CAS_Class1-Type-I_81,Sage1_L_113_16_scaffold_8014_CAS_Cluster_82
Sage1_L_113_16_scaffold_8014	Sage1_L_113_16_scaffold_8014_5	csb1gr7_I-G_1	508190	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage1_L_113_16_scaffold_8014_CAS_Class1-Subtype-I-G_80	1	1	0.571	4.000	1	cas7_I-G_4	mandatory	398	1.1e-48	171.300	0.982	0.455	20	200		Sage1_L_113_16_scaffold_8014_CAS_Class1-Type-I_81,Sage1_L_113_16_scaffold_8014_CAS_Cluster_82
Sage1_L_113_16_scaffold_8014	Sage1_L_113_16_scaffold_8014_6	WYL_I_II_III_IV_V_VI_4	508191	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage1_L_113_16_scaffold_8014_CAS_Class1-Subtype-I-G_80	1	1	0.571	4.000	1	WYL_I_II_III_IV_V_VI_1	neutral	312	2.7e-06	33.700	0.465	0.260	147	227		Sage1_L_113_16_scaffold_8014_CAS_Class1-Type-I_81,Sage1_L_113_16_scaffold_8014_CAS_Cluster_82
Sage1_L_40_16_scaffold_2798	Sage1_L_40_16_scaffold_2798_2	cas2_I_II_III_IV_V_VI_3	1221113	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage1_L_40_16_scaffold_2798_CAS_Class1-Subtype-I-G_27	1	1	0.857	6.000	1	cas2_I_II_III_IV_V_VI_3	accessory	96	2.9e-18	71.800	0.873	0.719	6	74		Sage1_L_40_16_scaffold_2798_CAS_Class1-Type-I_28,Sage1_L_40_16_scaffold_2798_CAS_Cluster_29
Sage1_L_40_16_scaffold_2798	Sage1_L_40_16_scaffold_2798_3	cas1_I_II_III_IV_V_VI_1	1221114	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage1_L_40_16_scaffold_2798_CAS_Class1-Subtype-I-G_27	1	1	0.857	6.000	1	cas1_I_II_III_IV_V_VI_10	accessory	550	1.7e-90	309.500	0.994	0.576	222	538		Sage1_L_40_16_scaffold_2798_CAS_Class1-Type-I_28,Sage1_L_40_16_scaffold_2798_CAS_Cluster_29
Sage1_L_40_16_scaffold_2798	Sage1_L_40_16_scaffold_2798_4	csb2gr5_I-G_1	1221115	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage1_L_40_16_scaffold_2798_CAS_Class1-Subtype-I-G_27	1	1	0.857	6.000	1	cas5u_I-G_1	mandatory	471	1.1e-40	146.300	0.984	0.996	1	469		Sage1_L_40_16_scaffold_2798_CAS_Class1-Type-I_28,Sage1_L_40_16_scaffold_2798_CAS_Cluster_29
Sage1_L_40_16_scaffold_2798	Sage1_L_40_16_scaffold_2798_5	csb1gr7_I-G_1	1221116	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage1_L_40_16_scaffold_2798_CAS_Class1-Subtype-I-G_27	1	1	0.857	6.000	1	cas7_I-G_4	mandatory	307	1e-39	142.100	0.988	0.554	7	176		Sage1_L_40_16_scaffold_2798_CAS_Class1-Type-I_28,Sage1_L_40_16_scaffold_2798_CAS_Cluster_29
Sage1_L_40_16_scaffold_2798	Sage1_L_40_16_scaffold_2798_6	cas8u1_I-G_1	1221117	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage1_L_40_16_scaffold_2798_CAS_Class1-Subtype-I-G_27	1	1	0.857	6.000	1	cas8u1_I-G_1	mandatory	740	1.1e-77	268.300	0.670	0.638	128	599		Sage1_L_40_16_scaffold_2798_CAS_Class1-Type-I_28,Sage1_L_40_16_scaffold_2798_CAS_Cluster_29
Sage1_L_40_16_scaffold_2798	Sage1_L_40_16_scaffold_2798_7	cas3_I_2	1221118	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-G	Sage1_L_40_16_scaffold_2798_CAS_Class1-Subtype-I-G_27	1	1	0.857	6.000	1	cas3_I_2	accessory	792	9.7e-35	126.400	0.989	0.449	31	386		Sage1_L_40_16_scaffold_2798_CAS_Class1-Type-I_28,Sage1_L_40_16_scaffold_2798_CAS_Cluster_29
Sage1_L_40_16_scaffold_28	Sage1_L_40_16_scaffold_28_78	cmr3gr5_III-B_III-C_5	1216292	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-B	Sage1_L_40_16_scaffold_28_CAS_Class1-Subtype-III-B_123	1	1	0.429	3.000	1	cmr3gr5_III-B_III-C_5	accessory	364	6.2e-58	203.100	0.997	0.956	13	360		Sage1_L_40_16_scaffold_28_CAS_Class1-Type-III_124,Sage1_L_40_16_scaffold_28_CAS_Cluster_125
Sage1_L_40_16_scaffold_28	Sage1_L_40_16_scaffold_28_79	cmr4gr7_III-B_III-C_1	1216293	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-B	Sage1_L_40_16_scaffold_28_CAS_Class1-Subtype-III-B_123	1	1	0.429	3.000	1	cmr4gr7_III-B_III-C_2	accessory	289	3.4e-49	174.100	1.000	0.952	4	278		Sage1_L_40_16_scaffold_28_CAS_Class1-Type-III_124,Sage1_L_40_16_scaffold_28_CAS_Cluster_125
Sage1_L_40_16_scaffold_28	Sage1_L_40_16_scaffold_28_81	cmr6gr7_III-B_3	1216295	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-B	Sage1_L_40_16_scaffold_28_CAS_Class1-Subtype-III-B_123	1	1	0.429	3.000	1	cmr6gr7_III-B_1	mandatory	317	4e-13	55.800	0.444	0.379	95	214		Sage1_L_40_16_scaffold_28_CAS_Class1-Type-III_124,Sage1_L_40_16_scaffold_28_CAS_Cluster_125
Sage1_L_40_16_scaffold_3849	Sage1_L_40_16_scaffold_3849_24	cas2_I_II_III_IV_V_VI_3	1219606	defense-finder-models/Cas/Cas/CAS_Class1-Type-III	Sage1_L_40_16_scaffold_3849_CAS_Class1-Type-III_30	1	1	0.200	4.000	1	cas2_I_II_III_IV_V_VI_5	accessory	94	6.4e-20	77.200	0.975	0.830	3	80		Sage1_L_40_16_scaffold_3849_CAS_Cluster_31
Sage1_L_40_16_scaffold_3849	Sage1_L_40_16_scaffold_3849_25	cas1_I_II_III_IV_V_VI_1	1219607	defense-finder-models/Cas/Cas/CAS_Class1-Type-III	Sage1_L_40_16_scaffold_3849_CAS_Class1-Type-III_30	1	1	0.200	4.000	1	cas1_I_II_III_IV_V_VI_1	accessory	637	4.5e-90	308.100	0.991	0.498	308	624		Sage1_L_40_16_scaffold_3849_CAS_Cluster_31
Sage1_L_40_16_scaffold_3849	Sage1_L_40_16_scaffold_3849_26	cas6_I_II_III_IV_V_VI_22	1219608	defense-finder-models/Cas/Cas/CAS_Class1-Type-III	Sage1_L_40_16_scaffold_3849_CAS_Class1-Type-III_30	1	1	0.200	4.000	1	cas6_I_II_III_IV_V_VI_17	accessory	247	6.9e-13	55.200	0.991	0.482	117	235		Sage1_L_40_16_scaffold_3849_CAS_Cluster_31
Sage1_L_40_16_scaffold_3849	Sage1_L_40_16_scaffold_3849_27	cmr1gr7_III-B_III-C_3	1219609	defense-finder-models/Cas/Cas/CAS_Class1-Type-III	Sage1_L_40_16_scaffold_3849_CAS_Class1-Type-III_30	1	1	0.200	4.000	1	csm3gr7_III-A_1	mandatory	437	1.4e-10	47.600	0.462	0.167	10	82		Sage1_L_40_16_scaffold_3849_CAS_Cluster_31
Sage1_L_40_16_scaffold_60027	Sage1_L_40_16_scaffold_60027_2	cas4_I_II_III_IV_V_VI_1	707986	defense-finder-models/Cas/Cas/CAS_Cluster	Sage1_L_40_16_scaffold_60027_CAS_Cluster_32	1	1	0.040	2.000	1	cas4_I_II_III_IV_V_VI_1	mandatory	204	8e-27	100.700	0.994	0.892	12	193		
Sage1_L_40_16_scaffold_60027	Sage1_L_40_16_scaffold_60027_3	cas1_I_II_III_IV_V_VI_10	707987	defense-finder-models/Cas/Cas/CAS_Cluster	Sage1_L_40_16_scaffold_60027_CAS_Cluster_32	1	1	0.040	2.000	1	cas1_I_II_III_IV_V_VI_1	mandatory	232	6.6e-51	179.300	0.689	0.987	4	232		
Sage1_L_40_16_scaffold_7677	Sage1_L_40_16_scaffold_7677_3	WYL_I_II_III_IV_V_VI_1	703045	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	Sage1_L_40_16_scaffold_7677_CAS_Class1-Subtype-I-B_17	1	1	0.625	5.000	1	WYL_I_II_III_IV_V_VI_1	neutral	315	3.2e-41	148.000	0.942	0.971	6	311		Sage1_L_40_16_scaffold_7677_CAS_Class1-Type-I_18,Sage1_L_40_16_scaffold_7677_CAS_Cluster_19
Sage1_L_40_16_scaffold_7677	Sage1_L_40_16_scaffold_7677_5	cas8b2_I-B_6	703047	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	Sage1_L_40_16_scaffold_7677_CAS_Class1-Subtype-I-B_17	1	1	0.625	5.000	1	cas8b2_I-B_2	mandatory	528	7.8e-139	469.600	0.978	0.958	4	509		Sage1_L_40_16_scaffold_7677_CAS_Class1-Type-I_18,Sage1_L_40_16_scaffold_7677_CAS_Cluster_19
Sage1_L_40_16_scaffold_7677	Sage1_L_40_16_scaffold_7677_6	cas7_I-B_6	703048	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	Sage1_L_40_16_scaffold_7677_CAS_Class1-Subtype-I-B_17	1	1	0.625	5.000	1	cas7_I-B_6	mandatory	361	9.9e-50	175.600	0.905	0.848	24	329		Sage1_L_40_16_scaffold_7677_CAS_Class1-Type-I_18,Sage1_L_40_16_scaffold_7677_CAS_Cluster_19
Sage1_L_40_16_scaffold_7677	Sage1_L_40_16_scaffold_7677_7	cas5_I-B_1	703049	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	Sage1_L_40_16_scaffold_7677_CAS_Class1-Subtype-I-B_17	1	1	0.625	5.000	1	cas5_I-B_6	mandatory	246	5.3e-56	195.700	0.977	0.874	1	215		Sage1_L_40_16_scaffold_7677_CAS_Class1-Type-I_18,Sage1_L_40_16_scaffold_7677_CAS_Cluster_19
Sage1_L_40_16_scaffold_7677	Sage1_L_40_16_scaffold_7677_8	cas3_I_5	703050	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	Sage1_L_40_16_scaffold_7677_CAS_Class1-Subtype-I-B_17	1	1	0.625	5.000	1	cas3_I_5	accessory	812	2.1e-74	257.400	0.561	0.516	255	673		Sage1_L_40_16_scaffold_7677_CAS_Class1-Type-I_18,Sage1_L_40_16_scaffold_7677_CAS_Cluster_19
Sage1_L_40_16_scaffold_7677	Sage1_L_40_16_scaffold_7677_9	cas6_I_II_III_IV_V_VI_17	703051	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-B	Sage1_L_40_16_scaffold_7677_CAS_Class1-Subtype-I-B_17	1	1	0.625	5.000	1	cas6_I-B_III_1	accessory	325	1.1e-72	251.200	0.969	0.991	2	323		Sage1_L_40_16_scaffold_7677_CAS_Class1-Type-I_18,Sage1_L_40_16_scaffold_7677_CAS_Cluster_19
Sage1_L_60_16_scaffold_107951	Sage1_L_60_16_scaffold_107951_1	cas2_I_II_III_IV_V_VI_3	730038	defense-finder-models/Cas/Cas/CAS_Cluster	Sage1_L_60_16_scaffold_107951_CAS_Cluster_33	1	1	0.060	3.000	1	cas2_I_II_III_IV_V_VI_1	mandatory	102	3.9e-23	87.500	0.975	0.755	13	89		
Sage1_L_60_16_scaffold_107951	Sage1_L_60_16_scaffold_107951_2	cas1_I_II_III_IV_V_VI_1	730039	defense-finder-models/Cas/Cas/CAS_Cluster	Sage1_L_60_16_scaffold_107951_CAS_Cluster_33	1	1	0.060	3.000	1	cas1_I_II_III_IV_V_VI_1	mandatory	332	6.4e-108	366.700	0.997	0.958	3	320		
Sage1_L_60_16_scaffold_107951	Sage1_L_60_16_scaffold_107951_3	cas4_I_II_III_IV_V_VI_1	730040	defense-finder-models/Cas/Cas/CAS_Cluster	Sage1_L_60_16_scaffold_107951_CAS_Cluster_33	1	1	0.060	3.000	1	cas4_I_II_III_IV_V_VI_1	mandatory	142	2.1e-20	79.800	0.648	0.887	2	127		
Sage1_L_60_16_scaffold_15079	Sage1_L_60_16_scaffold_15079_2	cmr6gr7_III-B_3	726011	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-B	Sage1_L_60_16_scaffold_15079_CAS_Class1-Subtype-III-B_111	1	1	0.714	5.000	1	cmr6gr7_III-B_1	mandatory	346	2.3e-41	148.300	0.739	0.561	57	250		Sage1_L_60_16_scaffold_15079_CAS_Class1-Type-III_112,Sage1_L_60_16_scaffold_15079_CAS_Cluster_113
Sage1_L_60_16_scaffold_15079	Sage1_L_60_16_scaffold_15079_3	cmr5gr11_III-B_4	726012	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-B	Sage1_L_60_16_scaffold_15079_CAS_Class1-Subtype-III-B_111	1	1	0.714	5.000	1	cmr5gr11_III-B_18	mandatory	128	3.1e-28	104.600	0.992	0.836	4	110		Sage1_L_60_16_scaffold_15079_CAS_Class1-Type-III_112,Sage1_L_60_16_scaffold_15079_CAS_Cluster_113
Sage1_L_60_16_scaffold_15079	Sage1_L_60_16_scaffold_15079_4	cmr4gr7_III-B_III-C_1	726013	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-B	Sage1_L_60_16_scaffold_15079_CAS_Class1-Subtype-III-B_111	1	1	0.714	5.000	1	cmr4gr7_III-B_III-C_2	accessory	301	1.5e-63	221.200	0.993	0.934	9	289		Sage1_L_60_16_scaffold_15079_CAS_Class1-Type-III_112,Sage1_L_60_16_scaffold_15079_CAS_Cluster_113
Sage1_L_60_16_scaffold_15079	Sage1_L_60_16_scaffold_15079_5	cmr1gr7_III-B_1	726014	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-B	Sage1_L_60_16_scaffold_15079_CAS_Class1-Subtype-III-B_111	1	1	0.714	5.000	1	cmr1gr7_III-B_1	mandatory	447	1.3e-32	119.500	0.883	0.817	26	390		Sage1_L_60_16_scaffold_15079_CAS_Class1-Type-III_112,Sage1_L_60_16_scaffold_15079_CAS_Cluster_113
Sage1_L_60_16_scaffold_15079	Sage1_L_60_16_scaffold_15079_6	cmr3gr5_III-B_III-C_8	726015	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-B	Sage1_L_60_16_scaffold_15079_CAS_Class1-Subtype-III-B_111	1	1	0.714	5.000	1	cmr3gr5_III-B_III-C_5	accessory	437	4.1e-79	272.800	1.000	0.973	4	428		Sage1_L_60_16_scaffold_15079_CAS_Class1-Type-III_112,Sage1_L_60_16_scaffold_15079_CAS_Cluster_113
Sage1_L_60_16_scaffold_28064	Sage1_L_60_16_scaffold_28064_3	cas5_I-A_15	723236	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-A	Sage1_L_60_16_scaffold_28064_CAS_Class1-Subtype-I-A_155	1	1	0.222	2.000	1	cas5a_I-A_1	mandatory	289	6.6e-10	45.000	0.691	0.547	9	166		Sage1_L_60_16_scaffold_28064_CAS_Class1-Type-I_156,Sage1_L_60_16_scaffold_28064_CAS_Cluster_157
Sage1_L_60_16_scaffold_28064	Sage1_L_60_16_scaffold_28064_4	cas7_I_15	723237	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-A	Sage1_L_60_16_scaffold_28064_CAS_Class1-Subtype-I-A_155	1	1	0.222	2.000	1	cas7_I_15	accessory	339	4.9e-22	84.300	0.977	0.779	15	278		Sage1_L_60_16_scaffold_28064_CAS_Class1-Type-I_156,Sage1_L_60_16_scaffold_28064_CAS_Cluster_157
Sage1_L_60_16_scaffold_29545	Sage1_L_60_16_scaffold_29545_2	cas6_I_II_III_IV_V_VI_22	723377	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	Sage1_L_60_16_scaffold_29545_CAS_Class1-Subtype-I-D_146	1	1	0.375	3.000	1	cas6_I-A_III-D_3	accessory	314	1e-10	48.200	0.893	0.363	195	308		Sage1_L_60_16_scaffold_29545_CAS_Class1-Type-I_147,Sage1_L_60_16_scaffold_29545_CAS_Cluster_148
Sage1_L_60_16_scaffold_29545	Sage1_L_60_16_scaffold_29545_3	csc1gr5_I-D_2	723378	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	Sage1_L_60_16_scaffold_29545_CAS_Class1-Subtype-I-D_146	1	1	0.375	3.000	1	csc1gr5_I-D_2	mandatory	224	9.9e-43	152.300	1.000	0.951	8	220		Sage1_L_60_16_scaffold_29545_CAS_Class1-Type-I_147,Sage1_L_60_16_scaffold_29545_CAS_Cluster_148
Sage1_L_60_16_scaffold_29545	Sage1_L_60_16_scaffold_29545_4	csc2gr7_I-D_1	723379	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-I-D	Sage1_L_60_16_scaffold_29545_CAS_Class1-Subtype-I-D_146	1	1	0.375	3.000	1	csc2gr7_I-D_1	mandatory	327	7.9e-78	267.800	0.993	0.804	21	283		Sage1_L_60_16_scaffold_29545_CAS_Class1-Type-I_147,Sage1_L_60_16_scaffold_29545_CAS_Cluster_148
Sage1_L_60_16_scaffold_4406	Sage1_L_60_16_scaffold_4406_12	cas10_III-D_3	724346	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-D	Sage1_L_60_16_scaffold_4406_CAS_Class1-Subtype-III-D_94	1	1	0.500	4.000	1	cas10_III-D_1	mandatory	559	7e-53	186.200	0.990	0.767	4	432		Sage1_L_60_16_scaffold_4406_CAS_Class1-Type-III_95,Sage1_L_60_16_scaffold_4406_CAS_Cluster_96
Sage1_L_60_16_scaffold_4406	Sage1_L_60_16_scaffold_4406_14	csx10gr5_III-D_3	724348	defense-finder-models/Cas/Cas/CAS_Class1-Subtype-III-D	Sage1_L_60_16_scaffold_4406_CAS_Class1-Subtype-III-D_94	1	1	0.500	4.000	1	csx10gr5_III-D_3	mandatory	429	1.6e-39	142.400	0.985	0.988	1	424		Sage1_L_60_16_scaffold_4406_CAS_Class1-Type-III_95,Sage1_L_60_16_scaffold_4406_CAS_Cluster_96
